rowNumber,Club,Name,Country,Tag,Birthdate,Position
253,Hannover 96,Zieler; Ron-Robert,Deutschland,1,12.02.1989,GK
254,Hannover 96,Gülselam; Ceyhun,Türkei,6,25.12.1987,MF
255,Hannover 96,Klaus; Felix,Deutschland,11,13.09.1992,MF
256,Hannover 96,Albornoz; Miiko,Chile,3,30.11.1990,DF
257,Hannover 96,Bähre; Mike-Steven,Deutschland,33,10.08.1995,MF
258,Hannover 96,Kiyotake; Hiroshi,Japan,10,12.11.1989,MF
259,Hannover 96,Rankovic; Vladimir,Deutschland,27,27.06.1993,DF
260,Hannover 96,Schulz; Christian,Deutschland,19,01.04.1983,DF
261,Hannover 96,Andreasen; Leon,Dänemark,2,23.04.1983,MF
262,Hannover 96,Königsmann; Timo,Deutschland,40,05.04.1997,GK
263,Hannover 96,Sané; Salif,Senegal,5,25.08.1990,MF
264,Hannover 96,Anton; Waldemar,Deutschland,31,20.07.1996,DF
265,Hannover 96,Sorg; Oliver,Deutschland,29,29.05.1990,DF
266,Hannover 96,Radlinger; Samuel,Österreich,30,07.11.1992,GK
267,Hannover 96,Teichgräber; Niklas,Deutschland,37,07.02.1996,DF
268,Hannover 96,Erdinc; Mevlüt,Türkei,39,25.02.1987,FW
269,Hannover 96,Marcelo,Brasilien,25,20.05.1987,DF
270,Hannover 96,Felipe,Brasilien,20,15.05.1987,DF
271,Hannover 96,Hoffmann; Andre,Deutschland,15,28.02.1993,DF
272,Hannover 96,Karaman; Kenan,Türkei,26,05.03.1994,FW
273,Hannover 96,Dierßen; Tim,Deutschland,34,15.01.1996,MF
274,Hannover 96,Ernst; Sebastian,Deutschland,36,04.03.1995,MF
275,Hannover 96,Sakai; Hiroki,Japan,4,12.04.1990,DF
276,Hannover 96,Benschop; Charlison,Niederlande,35,21.08.1989,FW
277,Hannover 96,Bech; Uffe,Dänemark,17,13.01.1993,MF
278,Hannover 96,Tschauner; Philipp,Deutschland,13,03.11.1985,GK
279,Hannover 96,Sobiech; Artur,Polen,9,12.06.1990,FW
280,Hannover 96,Sulejmani; Valmir,Albanien,38,01.02.1996,MF
281,Eintracht Frankfurt,Medojevic; Slobodan,Serbien,25,20.11.1990,MF
282,Eintracht Frankfurt,Kinsombi; David,Deutschland,31,12.12.1995,DF
283,Eintracht Frankfurt,Anderson,Brasilien,23,10.01.1988,DF
284,Eintracht Frankfurt,Hasebe; Makoto,Japan,20,18.01.1984,MF
285,Eintracht Frankfurt,Ignjovski; Aleksandar,Serbien,27,27.01.1991,DF
286,Eintracht Frankfurt,Reinartz; Stefan,Deutschland,7,01.01.1989,MF
287,Eintracht Frankfurt,Gacinovic; Mijat,Serbien,11,08.02.1995,MF
288,Eintracht Frankfurt,Djakpa; Constant,Elfenbeinküste,15,17.10.1986,DF
289,Eintracht Frankfurt,Kittel; Sonny,Deutschland,28,06.01.1993,MF
290,Eintracht Frankfurt,Seferovic; Haris,Schweiz,9,22.02.1992,FW
291,Eintracht Frankfurt,Gerezgiher; Joel,Deutschland,32,09.10.1995,MF
292,Eintracht Frankfurt,Lindner; Heinz,Österreich,13,17.07.1990,GK
293,Eintracht Frankfurt,Chandler; Timothy,USA,22,29.03.1990,DF
294,Eintracht Frankfurt,Castaignos; Luc,Niederlande,30,27.09.1992,FW
295,Eintracht Frankfurt,Flum; Johannes,Deutschland,18,14.12.1987,MF
296,Eintracht Frankfurt,Kadlec; Vaclav,Tschechien,10,20.05.1992,FW
297,Eintracht Frankfurt,Abraham; David,Argentinien,19,15.07.1986,DF
298,Eintracht Frankfurt,Russ; Marco,Deutschland,4,04.08.1985,DF
299,Eintracht Frankfurt,Meier; Alexander,Deutschland,14,17.01.1983,FW
300,Eintracht Frankfurt,Balayev; Emil,Aserbaidschan,29,17.04.1994,GK
301,Eintracht Frankfurt,Hradecky; Lukas,Finnland,1,24.11.1989,GK
302,Eintracht Frankfurt,Zambrano; Carlos,Peru,5,10.07.1989,DF
303,Eintracht Frankfurt,Waldschmidt; Luca,Deutschland,24,19.05.1996,FW
304,Eintracht Frankfurt,Stendera; Marc,Deutschland,21,10.12.1995,MF
305,Eintracht Frankfurt,Aigner; Stefan,Deutschland,16,20.08.1987,MF
306,Eintracht Frankfurt,Zummack; Yannick,Deutschland,33,26.03.1996,GK
307,Eintracht Frankfurt,Oczipka; Bastian,Deutschland,6,12.01.1989,DF
308,Hertha BSC,Ben-Hatira; Änis,Tunesien,10,18.07.1988,MF
309,Hertha BSC,van den Bergh; Johannes,Deutschland,23,21.11.1986,DF
310,Hertha BSC,Körber; Nils-Jonathan,Deutschland,29,13.11.1996,GK
311,Hertha BSC,Kohls; Florian,Deutschland,31,03.04.1995,MF
312,Hertha BSC,Jarstein; Rune,Norwegen,22,29.09.1984,GK
313,Hertha BSC,Cigerci; Tolga,Deutschland,17,23.03.1992,MF
314,Hertha BSC,Stark; Niklas,Deutschland,5,14.04.1995,DF
315,Hertha BSC,Gersbeck; Marius,Deutschland,35,20.06.1995,GK
316,Hertha BSC,Allagui; Sami,Tunesien,11,28.05.1986,FW
317,Hertha BSC,Kalou; Salomon,Elfenbeinküste,8,05.08.1985,FW
318,Hertha BSC,Hegeler; Jens,Deutschland,13,22.01.1988,MF
319,Hertha BSC,Plattenhardt; Marvin,Deutschland,21,26.01.1992,DF
320,Hertha BSC,Stocker; Valentin,Schweiz,14,12.04.1989,MF
321,Hertha BSC,Skjelbred; Per Ciljan,Norwegen,3,16.06.1987,MF
322,Hertha BSC,Baumjohann; Alexander,Deutschland,9,23.01.1987,MF
323,Hertha BSC,Haraguchi; Genki,Japan,24,09.05.1991,MF
324,Hertha BSC,Ronny,Brasilien,12,11.05.1986,MF
325,Hertha BSC,Brooks; John Anthony,USA,25,28.01.1993,DF
326,Hertha BSC,Weiser; Mitchell,Deutschland,20,21.04.1994,MF
327,Hertha BSC,Ibisevic; Vedad,Bosnien-Herzegowina,19,06.08.1984,FW
328,Hertha BSC,Lustenberger; Fabian,Schweiz,28,02.05.1988,MF
329,Hertha BSC,Pekarik; Peter,Slowakei,2,30.10.1986,DF
330,Hertha BSC,Langkamp; Sebastian,Deutschland,15,15.01.1988,DF
331,Hertha BSC,Darida; Vladimir,Tschechien,6,08.08.1990,MF
332,Hertha BSC,Beerens; Roy,Niederlande,27,22.12.1987,MF
333,Hertha BSC,Schieber; Julian,Deutschland,16,13.02.1989,FW
334,Hertha BSC,Kraft; Thomas,Deutschland,1,22.07.1988,GK
335,Hertha BSC,Mittelstädt; Maximilian,Deutschland,34,18.03.1997,DF
336,TSG Hoffenheim,Baumann; Oliver,Deutschland,1,02.06.1990,GK
337,TSG Hoffenheim,Volland; Kevin,Deutschland,31,30.07.1992,FW
338,TSG Hoffenheim,Polanski; Eugen,Polen,8,17.03.1986,MF
339,TSG Hoffenheim,Kuranyi; Kevin,Deutschland,22,02.03.1982,FW
340,TSG Hoffenheim,Elyounoussi; Tarik,Norwegen,14,23.02.1988,MF
341,TSG Hoffenheim,Kim; Jin-Su,Südkorea,20,13.06.1992,DF
342,TSG Hoffenheim,Strobl; Tobias,Deutschland,12,12.05.1990,DF
343,TSG Hoffenheim,Szalai; Adam,Ungarn,28,09.12.1987,FW
344,TSG Hoffenheim,Schmid; Jonathan,Frankreich,10,22.06.1990,MF
345,TSG Hoffenheim,Rapp; Nicolai,Deutschland,21,13.12.1996,DF
346,TSG Hoffenheim,Joelinton,Brasilien,40,14.08.1996,FW
347,TSG Hoffenheim,Schär; Fabian,Schweiz,5,20.12.1991,DF
348,TSG Hoffenheim,Grahl; Jens,Deutschland,13,22.09.1988,GK
349,TSG Hoffenheim,Rudy; Sebastian,Deutschland,6,28.02.1990,MF
350,TSG Hoffenheim,Malbasic; Filip,Serbien,xx,18.11.1992,MF
351,TSG Hoffenheim,Zuber; Steven,Schweiz,17,17.08.1991,MF
352,TSG Hoffenheim,Kaderabek; Pavel,Tschechien,3,25.04.1992,DF
353,TSG Hoffenheim,Ochs; Philipp,Deutschland,30,17.04.1997,FW
354,TSG Hoffenheim,Süle; Niklas,Deutschland,25,03.09.1995,DF
355,TSG Hoffenheim,Schwegler; Pirmin,Schweiz,16,09.03.1987,MF
356,TSG Hoffenheim,Herdling; Kai,Deutschland,38,27.06.1984,MF
357,TSG Hoffenheim,Gimber; Benedikt,Deutschland,32,19.02.1997,DF
358,TSG Hoffenheim,Vargas; Eduardo,Chile,9,20.11.1989,MF
359,TSG Hoffenheim,Bicakcic; Ermin,Bosnien-Herzegowina,4,24.01.1990,DF
360,TSG Hoffenheim,Amiri; Nadiem,Deutschland,18,27.10.1996,MF
361,TSG Hoffenheim,Hamad; Jiloan,Schweden,11,06.11.1990,MF
362,TSG Hoffenheim,Uth; Mark,Deutschland,19,24.08.1991,FW
363,TSG Hoffenheim,Stolz; Alexander,Deutschland,33,13.10.1983,GK
364,TSG Hoffenheim,Toljan; Jeremy,Deutschland,15,08.08.1994,DF
365,FC Ingolstadt 04,Groß; Pascal,Deutschland,10,15.06.1991,MF
366,FC Ingolstadt 04,Leckie; Mathew,Australien,7,04.02.1991,FW
367,FC Ingolstadt 04,Kachunga; Elias,Deutschland,25,22.04.1992,FW
368,FC Ingolstadt 04,Bregerie; Romain,Frankreich,18,09.08.1986,DF
369,FC Ingolstadt 04,Nyland; Örjan,Norwegen,26,10.09.1990,GK
370,FC Ingolstadt 04,Levels; Tobias,Deutschland,28,22.11.1986,DF
371,FC Ingolstadt 04,Hinterseer; Lukas,Österreich,16,28.03.1991,FW
372,FC Ingolstadt 04,Multhaup; Maurice,Deutschland,xx,15.12.1996,MF
373,FC Ingolstadt 04,Danilo,Brasilien,15,29.10.1991,DF
374,FC Ingolstadt 04,Engel; Konstantin,Kasachstan,20,27.07.1988,DF
375,FC Ingolstadt 04,Pledl; Thomas,Deutschland,30,23.05.1994,MF
376,FC Ingolstadt 04,Ortag; Christian,Deutschland,39,14.01.1995,GK
377,FC Ingolstadt 04,Bauer; Robert,Deutschland,23,09.04.1995,MF
378,FC Ingolstadt 04,Christiansen; Max,Deutschland,19,25.09.1996,MF
379,FC Ingolstadt 04,Morales; Alfredo,USA,6,12.05.1990,MF
380,FC Ingolstadt 04,Hübner; Benjamin,Deutschland,5,04.07.1989,DF
381,FC Ingolstadt 04,Suttner; Markus,Österreich,29,16.04.1987,DF
382,FC Ingolstadt 04,Roger,Brasilien,8,10.08.1985,MF
383,FC Ingolstadt 04,Cohen; Almog,Israel,36,01.09.1988,MF
384,FC Ingolstadt 04,Pekhart; Tomas,Tschechien,11,26.05.1989,FW
385,FC Ingolstadt 04,Özcan; Ramazan,Österreich,1,28.06.1984,GK
386,FC Ingolstadt 04,da Costa; Danny,Deutschland,21,13.07.1993,DF
387,FC Ingolstadt 04,Matip; Marvin,Kamerun,34,25.09.1985,DF
388,FC Ingolstadt 04,Lex; Stefan,Deutschland,14,27.11.1989,MF
389,FC Ingolstadt 04,Wannenwetsch; Stefan,Deutschland,22,19.01.1992,MF
390,FC Ingolstadt 04,Hartmann; Moritz,Deutschland,9,20.06.1986,FW
391,VfB Stuttgart,Gruezo; Carlos,Ecuador,11,19.04.1995,MF
392,VfB Stuttgart,Langerak; Mitchell,Australien,1,22.08.1988,GK
393,VfB Stuttgart,Heise; Philip,Deutschland,14,20.06.1991,DF
394,VfB Stuttgart,Werner; Timo,Deutschland,19,06.03.1996,FW
395,VfB Stuttgart,Tyton; Przemyslaw,Polen,22,04.01.1987,GK
396,VfB Stuttgart,Kostic; Filip,Serbien,18,01.11.1992,MF
397,VfB Stuttgart,Gentner; Christian,Deutschland,20,14.08.1985,MF
398,VfB Stuttgart,Ferati; Arianit,Deutschland,31,07.09.1997,MF
399,VfB Stuttgart,Serey Dié,Elfenbeinküste,26,07.11.1984,MF
400,VfB Stuttgart,Sunjic; Toni,Bosnien-Herzegowina,4,15.12.1988,DF
401,VfB Stuttgart,Didavi; Daniel,Deutschland,10,21.02.1990,MF
402,VfB Stuttgart,Baumgartl; Timo,Deutschland,5,04.03.1996,DF
403,VfB Stuttgart,Schwaab; Daniel,Deutschland,3,23.08.1988,DF
404,VfB Stuttgart,Hlousek; Adam,Tschechien,21,20.12.1988,DF
405,VfB Stuttgart,Insua; Emiliano,Argentinien,2,07.01.1989,DF
406,VfB Stuttgart,Niedermeier; Georg,Deutschland,6,26.02.1986,DF
407,VfB Stuttgart,Klein; Florian,Österreich,16,17.11.1986,DF
408,VfB Stuttgart,Wanitzek; Marvin,Deutschland,28,07.05.1993,MF
409,VfB Stuttgart,Kiesewetter; Jerome,USA,42,09.02.1993,FW
410,VfB Stuttgart,Ginczek; Daniel,Deutschland,33,13.04.1991,FW
411,VfB Stuttgart,Kruse; Robbie,Australien,9,05.10.1988,FW
412,VfB Stuttgart,Harnik; Martin,Österreich,7,10.06.1987,FW
413,VfB Stuttgart,Maxim; Alexandru,Rumänien,44,08.07.1990,MF
414,VfB Stuttgart,Ristl; Mart,Deutschland,27,07.07.1996,MF
415,VfB Stuttgart,Vlachodimos; Odisseas,Deutschland,17,26.04.1994,GK
416,VfB Stuttgart,Kliment; Jan,Tschechien,39,01.09.1993,FW
417,VfB Stuttgart,Rupp; Lukas,Deutschland,8,08.01.1991,MF
418,Bayer 04 Leverkusen,Kramer; Christoph,Deutschland,23,19.02.1991,MF
419,Bayer 04 Leverkusen,Ryu; Seung-Woo,Südkorea,24,17.12.1993,MF
420,Bayer 04 Leverkusen,Hernandez; Javier,Mexiko,7,01.06.1988,FW
421,Bayer 04 Leverkusen,Frey; Marlon,Deutschland,37,24.03.1996,MF
422,Bayer 04 Leverkusen,Jedvaj; Tin,Kroatien,16,28.11.1995,DF
423,Bayer 04 Leverkusen,Tah; Jonathan,Deutschland,4,11.02.1996,DF
424,Bayer 04 Leverkusen,Leno; Bernd,Deutschland,1,04.03.1992,GK
425,Bayer 04 Leverkusen,Hilbert; Roberto,Deutschland,13,16.10.1984,DF
426,Bayer 04 Leverkusen,Wendell,Brasilien,18,20.07.1993,DF
427,Bayer 04 Leverkusen,Kießling; Stefan,Deutschland,11,25.01.1984,FW
428,Bayer 04 Leverkusen,Calhanoglu; Hakan,Türkei,10,08.02.1994,MF
429,Bayer 04 Leverkusen,Toprak; Ömer,Türkei,21,21.07.1989,DF
430,Bayer 04 Leverkusen,Kresic; Dario,Kroatien,25,11.01.1984,GK
431,Bayer 04 Leverkusen,Boenisch; Sebastian,Polen,17,01.02.1987,DF
432,Bayer 04 Leverkusen,Yelldell; David,USA,22,01.10.1981,GK
433,Bayer 04 Leverkusen,Boeder; Lukas,Deutschland,33,18.04.1997,DF
434,Bayer 04 Leverkusen,Brandt; Julian,Deutschland,19,02.05.1996,FW
435,Bayer 04 Leverkusen,Donati; Giulio,Italien,26,05.02.1990,DF
436,Bayer 04 Leverkusen,Kampl; Kevin,Slowenien,44,09.10.1990,MF
437,Bayer 04 Leverkusen,Papadopoulos; Kyriakos,Griechenland,5,23.02.1992,DF
438,Bayer 04 Leverkusen,Aranguiz; Charles,Chile,20,17.04.1989,MF
439,Bayer 04 Leverkusen,Ramalho; André,Brasilien,2,16.02.1992,DF
440,Bayer 04 Leverkusen,Yurchenko; Vladlen,Ukraine,35,22.01.1994,MF
441,Bayer 04 Leverkusen,Mehmedi; Admir,Schweiz,14,16.03.1991,FW
442,Bayer 04 Leverkusen,Bellarabi; Karim,Deutschland,38,08.04.1990,FW
443,Bayer 04 Leverkusen,Bender; Lars,Deutschland,8,27.04.1989,MF
444,SV Darmstadt 98,Sailer; Marco,Deutschland,7,16.11.1985,FW
445,SV Darmstadt 98,Finger; Jan,Deutschland,36,02.01.1997,MF
446,SV Darmstadt 98,Holland; Fabian,Deutschland,32,11.07.1990,DF
447,SV Darmstadt 98,Kazimi; Ali,Deutschland,37,30.06.1997,MF
448,SV Darmstadt 98,Ivana; Milan,Slowakei,27,26.11.1983,MF
449,SV Darmstadt 98,Heller; Marcel,Deutschland,20,12.02.1986,MF
450,SV Darmstadt 98,Jungwirth; Florian,Deutschland,23,27.01.1989,MF
451,SV Darmstadt 98,Caldirola; Luca,Italien,33,01.02.1991,DF
452,SV Darmstadt 98,Volk; Nick,Deutschland,38,12.11.1997,MF
453,SV Darmstadt 98,Gorka; Benjamin,Deutschland,5,15.04.1984,DF
454,SV Darmstadt 98,Sirigu; Sandro,Deutschland,17,07.10.1988,DF
455,SV Darmstadt 98,Rausch; Konstantin,Deutschland,34,15.03.1990,MF
456,SV Darmstadt 98,Wembacher; Noel,Deutschland,39,15.03.1997,DF
457,SV Darmstadt 98,Mathenia; Christian,Deutschland,31,31.03.1992,GK
458,SV Darmstadt 98,Junior Diaz,Costa Rica,15,12.09.1983,DF
459,SV Darmstadt 98,Wagner; Sandro,Deutschland,14,29.11.1987,FW
460,SV Darmstadt 98,Stroh-Engel; Dominik,Deutschland,9,27.11.1985,FW
461,SV Darmstadt 98,Vrancic; Mario,Bosnien-Herzegowina,6,23.05.1989,MF
462,SV Darmstadt 98,Niemeyer; Peter,Deutschland,18,22.11.1983,MF
463,SV Darmstadt 98,Stegmayer; Michael,Deutschland,3,12.01.1985,DF
464,SV Darmstadt 98,Garics; György,Österreich,13,08.03.1984,DF
465,SV Darmstadt 98,Sulu; Aytac,Türkei,4,11.12.1985,DF
466,SV Darmstadt 98,Rosenthal; Jan,Deutschland,10,07.04.1986,MF
467,SV Darmstadt 98,Gondorf; Jerome,Deutschland,8,26.06.1988,MF
468,SV Darmstadt 98,Kempe; Tobias,Deutschland,11,27.06.1989,MF
469,SV Darmstadt 98,Platins; Patrick,Deutschland,1,19.04.1983,GK
470,SV Darmstadt 98,Stark; Yannick,Deutschland,25,28.10.1990,MF
471,FC Schalke 04,Platte; Felix,Deutschland,36,11.02.1996,FW
472,FC Schalke 04,Nübel; Alexander,Deutschland,35,30.09.1996,GK
473,FC Schalke 04,Junior Caicara,Brasilien,3,27.04.1989,DF
474,FC Schalke 04,Boateng; Kevin-Prince,Ghana,xx,06.03.1987,MF
475,FC Schalke 04,Choupo-Moting; Eric Maxim,Kamerun,13,23.03.1989,FW
476,FC Schalke 04,Geis; Johannes,Deutschland,5,17.08.1993,MF
477,FC Schalke 04,Sam; Sidney,Deutschland,18,31.01.1988,FW
478,FC Schalke 04,Kolasinac; Sead,Bosnien-Herzegowina,6,20.06.1993,DF
479,FC Schalke 04,Meyer; Max,Deutschland,7,18.09.1995,MF
480,FC Schalke 04,Fährmann; Ralf,Deutschland,1,27.09.1988,GK
481,FC Schalke 04,Friedrich; Marvin,Deutschland,2,13.12.1995,DF
482,FC Schalke 04,Aogo; Dennis,Deutschland,15,14.01.1987,DF
483,FC Schalke 04,Kehrer; Thilo,Deutschland,20,21.09.1996,DF
484,FC Schalke 04,Giefer; Fabian,Deutschland,34,17.05.1990,GK
485,FC Schalke 04,Nastasic; Matija,Serbien,31,28.03.1993,DF
486,FC Schalke 04,Höwedes; Benedikt,Deutschland,4,29.02.1988,DF
487,FC Schalke 04,Ayhan; Kaan,Türkei,24,10.11.1994,DF
488,FC Schalke 04,Gspurning; Michael,Österreich,30,02.05.1981,GK
489,FC Schalke 04,Goretzka; Leon,Deutschland,8,06.02.1995,MF
490,FC Schalke 04,Höjbjerg; Pierre-Emile,Dänemark,23,05.08.1995,MF
491,FC Schalke 04,Sané; Leroy,Deutschland,19,11.01.1996,FW
492,FC Schalke 04,Neustädter; Roman,Deutschland,33,18.02.1988,MF
493,FC Schalke 04,Huntelaar; Klaas Jan,Niederlande,25,12.08.1983,FW
494,FC Schalke 04,Riether; Sascha,Deutschland,27,23.03.1983,DF
495,FC Schalke 04,di Santo; Franco,Argentinien,9,07.04.1989,FW
496,FC Schalke 04,Uchida; Atsuto,Japan,22,27.03.1988,DF
497,FC Schalke 04,Matip; Joel,Kamerun,32,08.08.1991,DF
498,FC Schalke 04,Felipe Santana,Brasilien,28,17.03.1986,DF
499,FC Schalke 04,Höger; Marco,Deutschland,12,16.09.1989,MF
