rowNumber,player_num,position,player_name,club,age,height,weight,birthplace
331,NA,M,Agust?n Pelletieri,,32,5' 8'',159,Argentina
332,18,GK,Jaime Penedo,LA Galaxy,33,6',160,Panama
333,NA,D,Jeanderson Pereira,Portland Timbers,23,5' 11'',160,Brazil
334,7,F,Blas P?rez,FC Dallas,33,6' 1'',174,Panama
335,15,M,Diego P?rez,Uruguay,34,5' 10'',179,Uruguay
336,11,M,Mat?as P?rez Garc?a,San Jose Earthquakes,30,5' 5'',145,Argentina
337,NA,GK,Brian Perk,,25,5' 11'',175,USA
338,NA,GK,Troy Perkins,,33,6' 2'',190,USA
339,NA,D,Damien Perrinelle,,31,6' 1'',170,France
340,37,F,Jacob Peterson,Sporting Kansas City,28,5' 10'',165,USA
341,10,M,Ignacio Piatti,Montreal Impact,29,5' 11'',169,Argentina
342,80,M,Jean-Baptiste Pierazzi,San Jose Earthquakes,29,6' 1'',165,France
343,NA,D,Thomas Piermayr,,25,6',175,Austria
344,8,M,Gonzalo Pineda,Seattle Sounders FC,32,5' 10'',166,Mexico
345,16,D,Pablo Pintos,San Jose Earthquakes,27,6',160,Uruguay
346,8,F,Joao Plata,Real Salt Lake,22,5' 2'',135,Ecuador
347,NA,D,Matt Polster,,21,6',170,Active
348,18,M,Mart?n Ponce,,22,5' 6'',149,Mexico
349,13,M/F,Chris Pontius,D.C. United,27,6',170,USA
350,NA,M,Kyle Porter,,24,6',160,Canada
351,NA,F,Cameron Porter,,21,6' 1'',175,Active
352,2,D,Alvas Powell,Portland Timbers,20,6',165,Jamaica
353,8,M,Dillon Powers,Colorado Rapids,23,5' 11'',170,United States
354,99,F,Alec Purdie,,26,5' 10'',185,USA
355,NA,D,Rafael Ramos,Orlando City SC,20,5' 7'',148,Portugal
356,92,F,Rafinha,,22,5' 10'',155,Brazil
357,4,D,Tommy Redding,Orlando City SC,17,6' 2'',175,USA
358,NA,M,Mike Reidy,,23,5' 7'',150,USA
359,15,D,Dylan Remick,Seattle Sounders FC,23,6',165,USA
360,26,M,Charles Renken,,21,5' 7'',140,Zambia
361,14,M/D,Nigel Reo-Coker,Montreal Impact,30,5' 9'',170,England
362,28,GK,Kyle Reynish,Chicago Fire,31,6' 3'',193,USA
363,NA,M,Carlos Riascos,,20,NA,Colombia,Active
364,NA,D,Jose Ribas,,21,5' 9'',157,Ecuador
365,NA,M,Pedro Ribeiro,Orlando City SC,24,6' 4'',208,Brazil
366,16,F,Brent Richards,,24,5' 10'',165,USA
367,NA,GK,Spencer Richey,,22,6' 2'',195,Active
368,NA,D,Ryan Richter,,25,6',184,USA
369,NA,GK,Donovan Ricketts,Orlando City SC,37,6' 4'',215,Jamaica
370,24,D,Liam Ridgewell,Portland Timbers,30,6' 2'',175,England
371,NA,D,James Riley,,32,5' 10'',150,USA
372,18,G,Nick Rimando,Real Salt Lake,35,5' 9'',184,USA
373,21,M,Chris Ritter,Chicago Fire,24,6' 2'',190,USA
374,NA,F,Sidney Rivera,,21,6' 2'',185,Active
375,NA,M,Martin Rivero,,25,5' 9'',160,Argentina
376,9,F,Octavio Rivero,Vancouver Whitecaps FC,22,6' 2'',180,Uruguay
377,6,M,Michael Roach,,26,6',165,USA
378,40,GK,Quillan Roberts,Toronto FC,20,6',200,Canada
379,20,D,Jalen Robinson,D.C. United,20,5' 9'',145,USA
380,31,GK,Luis Robles,New York Red Bulls,30,5' 11'',180,USA
381,NA,M,Nik Robson,,2015,6' 1'',170,New Zealand
382,NA,F,Bryan R?chez,Orlando City SC,20,5' 11'',161,Honduras
383,22,D,Carlos Rodr?guez,,24,6',160,Panama
384,20,M,Memo Rodriguez,Houston Dynamo,19,5' 8'',142,USA
385,NA,D,Raul Rodriguez,Houston Dynamo,27,6',165,Spain
386,14,M,Robbie Rogers,LA Galaxy,27,5' 10'',165,USA
387,NA,F/M,James Rogers,,21,5' 8'',150,Sierra Leone
388,NA,M,Cristian Roldan,,19,5' 8'',165,USA
389,18,F,Chris Rolfe,D.C. United,31,5' 8'',155,USA
390,14,F,Colin Rolfe,,24,6',175,USA
391,15,F,Andr?s Romero,Montreal Impact,25,5' 10'',160,Argentina
392,30,M,Mauro Rosales,Vancouver Whitecaps FC,33,5' 8'',165,Argentina
393,5,M,Andy Rose,Seattle Sounders FC,24,6' 2'',170,Australia
394,11,M,Kelyn Rowe,New England Revolution,23,5' 8'',150,USA
395,1,GK,Brian Rowe,LA Galaxy,26,6' 1'',185,USA
396,3,D,Brad Rusin,,28,6' 4'',213,USA
397,16,M,Darel Russell,,34,5' 10'',163,England
398,NA,M,Nic Ryan,,23,5' 8'',130,USA
399,15,F,?lvaro Sabor?o,Real Salt Lake,32,6',170,Costa Rica
400,NA,M,Mohammed Saeid,Columbus Crew SC,24,5' 7'',141,Sweden
401,17,F,Omar Salgado,,21,6' 4'',210,USA
402,6,M,Shea Salinas,San Jose Earthquakes,28,5' 10'',150,USA
403,10,M,Lloyd Sam,New York Red Bulls,30,5' 8'',163,England
404,27,D,Ethen Sampson,Vancouver Whitecaps FC,21,5' 10'',165,South Africa
405,NA,D,Jossimar Sanchez,,23,5' 9'',170,USA
406,8,M,Mat?as S?nchez,,27,5' 8'',160,Argentina
407,7,F,Vicente S?nchez,Colorado Rapids,35,5' 7'',145,Uruguay
408,49,F,Devon Sandoval,Real Salt Lake,23,6' 1'',185,USA
409,NA,F,C.J. Sapong,Philadelphia Union,26,6' 1'',185,USA
410,8,D,Kofi Sarkodie,Houston Dynamo,23,5' 9'',165,USA
411,8,M,Marcelo Sarvas,LA Galaxy,33,5' 10'',155,Brazil
412,NA,M,Sebastian Saucedo,Real Salt Lake,17,5' 7'',145,USA
413,NA,GK,Josh Saunders,New York City FC,33,6' 4'',210,USA
414,18,F,Aaron Schoenfeld,Columbus Crew SC,24,6' 4'',190,USA
415,28,D,Chris Schuler,Real Salt Lake,27,6' 4'',185,USA
416,NA,F,Billy Schuler,,24,5' 11'',170,USA
417,20,D,Zach Scott,Seattle Sounders FC,34,5' 11'',175,USA
418,NA,D,Gonzalo Segares,,32,5' 11'',170,Costa Rica
419,18,GK,Chris Seitz,FC Dallas,27,6' 3'',236,USA
420,NA,D,Ibrahim Sekagya,,34,6' 1'',176,Uganda
421,NA,F,Saer Sene,,28,6' 3'',185,France
422,17,M,Dillon Serna,Colorado Rapids,20,5' 7'',140,USA
423,NA,M,Conor Shanosky,,23,6' 4'',185,USA
424,23,D,Luke Shaw,England,19,6' 1'',NA,England
425,NA,M,Brek Shea,Orlando City SC,24,6' 3'',180,USA
426,NA,F,Khiry Shelton,,21,6' 3'',185,Active
427,NA,F,Mark Sherrod,San Jose Earthquakes,24,6' 3'',185,USA
428,19,M,Harry Shipp,Chicago Fire,23,5' 9'',145,USA
429,22,GK,Bobby Shuttleworth,New England Revolution,27,6' 2'',205,USA
430,11,M,Luis Silva,D.C. United,26,5' 11'',163,USA
431,NA,F,Florent Sinama-Pongolle,,30,5' 9'',152,R?union
432,15,D,Seth Sinovic,Sporting Kansas City,27,5' 10'',170,USA
433,14,D,Steven Smith,,29,5' 10'',160,Scotland
434,NA,F,Yannick Smith,,24,5' 9'',165,Active
435,NA,M,Donnie Smith,,24,5' 11'',160,USA
436,19,M,Blake Smith,Montreal Impact,23,5' 10'',150,USA
437,5,D,A.J. Soares,New England Revolution,26,6',170,USA
438,NA,GK,Luis Soffner,,23,6' 4'',210,USA
439,13,M,Josue Soto,,26,5' 8'',160,USA
440,5,D,Bakary Soumare,Montreal Impact,29,6' 4'',190,Mali
441,NA,GK,Trevor Spangenberg,,23,6' 2'',190,United States
442,17,M,Ben Speas,Columbus Crew SC,23,5' 8'',155,USA
443,NA,M,Kristinn Steindorsson,Columbus Crew SC,24,5' 8'',154,Iceland
444,NA,M,Michael Stephens,Chicago Fire,25,5' 9'',155,USA
445,9,M,Khari Stephenson,San Jose Earthquakes,33,6' 2'',185,Jamaica
446,27,M,John Stertzer,Real Salt Lake,24,6',170,USA
447,23,M,Martin Steuble,Sporting Kansas City,26,5' 8'',158,Switzerland
448,19,M,Eric Stevenson,New York Red Bulls,24,5' 8'',145,USA
449,3,D/M,Jordan Stewart,San Jose Earthquakes,32,6',180,England
450,15,M,Matt Stinson,,22,5' 10'',165,Canada
451,NA,M,Nathan Sturgis,Houston Dynamo,27,5' 10'',160,USA
452,NA,GK,Brad Stuver,,23,6' 3'',180,USA
453,NA,M,Alec Sundly,,22,6',157,USA
454,NA,M,Ben Swanson,Columbus Crew SC,17,5' 6'',130,Active
455,22,D,Ben Sweat,Columbus Crew SC,23,6' 2'',175,USA
456,4,D,Jermaine Taylor,Houston Dynamo,29,5' 10'',195,Jamaica
457,NA,F,Tony Taylor,New York City FC,25,6',170,USA
458,6,M,Tony Tchani,Columbus Crew SC,25,6' 4'',185,Cameroon
459,31,M,Russell Teibert,Vancouver Whitecaps FC,22,5' 8'',150,Canada
460,9,F,David Texeira,FC Dallas,23,6',179,Uruguay
461,18,M,Michael Thomas,,26,5' 10'',170,USA
462,NA,M,Hendry Thomas,,29,5' 11'',175,Honduras
463,39,GK,Simon Thomas,,24,6' 3'',190,Canada
464,15,M,Wells Thompson,,31,5' 10'',156,USA
465,22,M,Tommy Thompson,San Jose Earthquakes,19,5' 7'',145,USA
466,8,D,Chris Tierney,New England Revolution,29,6',170,USA
467,51,D,Maxim Tissot,Montreal Impact,22,5' 11'',162,Canada
468,25,D,Donny Toia,Montreal Impact,22,5' 8'',160,USA
469,NA,F,Jonathan Top,,21,5' 8'',160,USA
470,70,GK,Paolo Tornaghi,Vancouver Whitecaps FC,26,6' 2'',165,Italy
471,NA,F,Erick Torres,Houston Dynamo,21,5' 11'',168,Mexico
472,10,F,Gabriel Torres,Colorado Rapids,26,5' 11'',165,Panama
473,NA,D,Djimi Traor?,,34,6' 3'',191,France
474,20,M,Wil Trapp,Columbus Crew SC,21,5' 8'',150,USA
475,12,M/F,Schillo Tshuma,Portland Timbers,22,5' 10'',162,Zimbabwe
476,25,D,Dylan Tucker-Gangnes,,25,6' 3'',190,USA
477,2,D,Tyler Turner,Orlando City SC,18,5' 11'',155,USA
478,NA,F,Kris Tyrpak,San Jose Earthquakes,22,5' 11'',145,USA
479,28,M,Victor Ulloa,FC Dallas,22,5' 11'',165,USA
480,37,M,Maximiliano Urruti,Portland Timbers,23,6',165,Argentina
481,2,D,Carlos Vald?s,Philadelphia Union,29,6',176,Colombia
482,8,M,Diego Valeri,Portland Timbers,28,5' 10'',165,Argentina
483,NA,D,Grant Van De Casteele,,23,6' 2'',165,USA
484,17,F,Olman Vargas,,29,6' 2'',174,Costa Rica
485,NA,M,Sebastian Velasquez,New York City FC,23,5' 7'',155,Colombia
486,NA,D/M,Agust?n Viana,,31,5' 11'',165,USA
487,21,M/F,Michael Videira,,29,5' 10'',183,USA
488,7,F,David Villa,New York City FC,33,5' 9'',148,Spain
489,19,D/M,Jorge Villafa?a,Portland Timbers,25,5' 9'',150,USA
490,11,M,Ricardo Villar,,35,5' 9'',163,Brazil
491,24,GK,Jeremy Vuolo,,27,6' 3'',196,USA
492,2,D,Tyson Wahl,Columbus Crew SC,30,6' 2'',185,USA
493,NA,D,Nicholas Walker,,24,6' 3'',190,Trinidad and Tobago
494,NA,M,Matt Walker,,22,5' 6'',150,USA
495,22,D/M,Rodney Wallace,Portland Timbers,26,6',155,Costa Rica
496,NA,M,Grant Ward,,20,5',160,England
497,26,M,Collen Warner,Toronto FC,26,5' 10'',178,USA
498,4,D,Kendall Waston,Vancouver Whitecaps FC,27,6' 5'',195,Costa Rica
499,27,M,Je-Vaughn Watson,FC Dallas,31,6' 1'',175,Jamaica
500,22,M,Matt Watson,Chicago Fire,30,6',180,England
501,NA,D,Kwame Watson-Siriboe,New York City FC,28,6' 3'',196,USA
502,33,M,Jared Watts,Colorado Rapids,22,6' 1'',155,USA
503,NA,F,Cam Weaver,,31,6' 4'',195,USA
504,33,GK,Andrew Weber,Portland Timbers,31,6' 2'',190,USA
505,9,F,Andrew Wenger,Philadelphia Union,24,6',185,USA
506,12,F,Aaron Wheeler,Philadelphia Union,26,6' 4'',197,USA
507,15,D,Ethan White,Philadelphia Union,24,6',183,USA
508,NA,F,Andrew Wiedeman,,25,5' 11'',166,USA
509,NA,D,Matt Wiet,,24,5' 11'',170,USA
510,25,D,Sheanon Williams,Philadelphia Union,24,5' 11'',170,USA
511,NA,D,Josh Williams,New York City FC,26,6' 2'',192,USA
512,31,D,Dicoy Williams,,28,6' 2'',187,Jamaica
513,NA,GK,Joe Willis,Houston Dynamo,26,6' 5'',189,USA
514,NA,D,Chris Wingert,New York City FC,32,5' 11'',165,USA
515,40,GK,Daniel Withrow,Portland Timbers,24,6' 1'',180,USA
516,30,M,Krystian Witkowski,,24,5' 11'',165,USA
517,8,F,Chris Wondolowski,San Jose Earthquakes,31,6',165,USA
518,21,D,Daniel Woolard,,30,5' 10'',155,USA
519,99,F,Bradley Wright-Phillips,New York Red Bulls,29,5' 8'',155,England
520,NA,D,Marvell Wynne,San Jose Earthquakes,28,5' 9'',180,USA
521,17,D,DeAndre Yedlin,Seattle Sounders FC,21,5' 8'',150,USA
522,99,D,Luis Zapata,,34,5' 10'',170,Colombia
523,11,F,Gyasi Zardes,LA Galaxy,23,6' 2'',175,USA
524,NA,D,Eriq Zavaleta,,22,6' 1'',185,USA
525,14,M,Ben Zemanski,Portland Timbers,26,5' 11'',150,USA
526,NA,M,Alejandro Zendejas,FC Dallas,16,5' 7'',145,USA
527,25,D,Walker Zimmerman,FC Dallas,21,6' 3'',185,USA
528,NA,M,Sal Zizzo,New York Red Bulls,27,5' 10'',165,USA
529,8,M,Graham Zusi,Sporting Kansas City,28,5' 10'',160,USA
530,11,F,David Accam,Chicago Fire,24,5' 9'',154,Ghana
531,23,D/M,Kellyn Acosta,FC Dallas,19,5' 10'',150,USA
532,NA,D,Ada?lton,Chicago Fire,31,6' 3'',180,Brazil
533,3,D,Sam Adekugbe,Vancouver Whitecaps FC,19,5' 9'',165,England
534,9,F,Fanendo Adi,Portland Timbers,24,6' 4'',185,Nigeria
535,13,F,Tesho Akindele,FC Dallas,22,6' 1'',170,Canada
536,NA,M,Fatai Alashe,,21,6',170,USA
537,12,M,Eric Alexander,New York Red Bulls,26,6' 1'',165,USA
538,7,D/M,Jordan Allen,Real Salt Lake,19,5' 11'',160,USA
539,6,M,Osvaldo Alonso,Seattle Sounders FC,29,5' 11'',165,Cuba
540,30,D,Kevin Alston,New England Revolution,26,5' 8'',160,USA
541,24,F,Quincy Amarikwa,Chicago Fire,27,5' 9'',180,USA
542,NA,D,Jalil Anibaba,Sporting Kansas City,26,6',185,USA
543,NA,M,Bernardo A?or,Sporting Kansas City,26,5' 8'',158,Venezuela
544,34,M,Manny Aparicio,Toronto FC,19,5' 6'',149,Argentina
545,5,D,Armando,New York Red Bulls,30,6' 1'',175,Spain
546,8,M,Davy Arnaud,D.C. United,34,5' 11'',160,USA
547,NA,F,Jairo Arrieta,Orlando City SC,31,5' 9'',150,Costa Rica
548,26,M,Corey Ashe,Houston Dynamo,28,5' 5'',154,USA
549,NA,M/F,Dairon Asprilla,Portland Timbers,22,5' 11'',165,Colombia
550,24,GK,Jeff Attinella,Real Salt Lake,26,6' 2'',190,USA
551,42,M,Micheal Azira,Seattle Sounders FC,27,5' 10'',160,Uganda
552,NA,M,Mehdi Ballouchy,New York City FC,31,5' 11'',169,Morocco
553,26,D,Brandon Barklage,San Jose Earthquakes,28,5' 11'',165,USA
554,25,D,Darrius Barnes,New England Revolution,28,6' 1'',175,USA
555,23,M,Giles Barnes,Houston Dynamo,26,5' 11'',181,England
556,NA,M,Leandro Barrera,San Jose Earthquakes,23,5' 8'',171,Argentina
557,19,F,Chad Barrett,Seattle Sounders FC,29,5' 11'',185,USA
558,21,D,Chad Barson,Columbus Crew SC,23,5' 10'',170,USA
559,21,D/M,DaMarcus Beasley,Houston Dynamo,32,5' 8'',145,USA
560,5,M,Kyle Beckerman,Real Salt Lake,32,5' 11'',165,USA
561,29,F,Adam Bedell,Columbus Crew SC,23,6' 6'',204,USA
562,33,D/M,Steven Beitashour,Vancouver Whitecaps FC,27,5' 10'',170,USA
563,8,M,Kyle Bekker,Toronto FC,24,5' 9'',165,Canada
564,27,M,Louis B?land-Goyette,Montreal Impact,19,5' 8'',140,Canada
565,2,D,Tony Beltran,Real Salt Lake,27,5' 8'',150,USA
566,12,GK,Joe Bendik,Toronto FC,25,6' 2'',217,USA
567,5,D,V?ctor Bern?rdez,San Jose Earthquakes,32,6' 2'',190,Honduras
568,12,GK,John Berner,Colorado Rapids,23,6' 3'',205,USA
569,8,M,Patrice Bernier,Montreal Impact,35,5' 9'',170,Canada
570,4,D,Austin Berry,Philadelphia Union,26,6' 2'',188,USA
571,5,D,Matt Besler,Sporting Kansas City,27,6',170,USA
572,NA,M,Nick Besler,,21,6' 1'',165,USA
573,16,F,Claudio Bieler,Sporting Kansas City,30,5' 11'',171,Argentina
574,15,D,Steve Birnbaum,D.C. United,23,6' 2'',180,USA
575,1,GK,Andre Blake,Philadelphia Union,24,6' 4'',175,Jamaica
576,28,D,Mark Bloom,Toronto FC,27,5' 11'',162,USA
577,NA,D,Nat Borchers,Portland Timbers,33,6' 2'',175,USA
578,32,D,Bobby Boswell,D.C. United,31,6' 2'',185,USA
579,21,M,Rub?n Bover,New York Red Bulls,22,5' 7'',144,Spain
580,11,F,David Accam,Chicago Fire,24,5' 9'',154,Ghana
581,23,D/M,Kellyn Acosta,FC Dallas,19,5' 10'',150,USA
582,NA,D,Ada?lton,Chicago Fire,31,6' 3'',180,Brazil
583,3,D,Sam Adekugbe,Vancouver Whitecaps FC,19,5' 9'',165,England
584,9,F,Fanendo Adi,Portland Timbers,24,6' 4'',185,Nigeria
585,13,F,Tesho Akindele,FC Dallas,22,6' 1'',170,Canada
586,NA,M,Fatai Alashe,,21,6',170,USA
587,12,M,Eric Alexander,New York Red Bulls,26,6' 1'',165,USA
588,7,D/M,Jordan Allen,Real Salt Lake,19,5' 11'',160,USA
589,6,M,Osvaldo Alonso,Seattle Sounders FC,29,5' 11'',165,Cuba
590,30,D,Kevin Alston,New England Revolution,26,5' 8'',160,USA
591,24,F,Quincy Amarikwa,Chicago Fire,27,5' 9'',180,USA
592,NA,D,Jalil Anibaba,Sporting Kansas City,26,6',185,USA
593,NA,M,Bernardo A?or,Sporting Kansas City,26,5' 8'',158,Venezuela
594,34,M,Manny Aparicio,Toronto FC,19,5' 6'',149,Argentina
595,5,D,Armando,New York Red Bulls,30,6' 1'',175,Spain
596,8,M,Davy Arnaud,D.C. United,34,5' 11'',160,USA
597,NA,F,Jairo Arrieta,Orlando City SC,31,5' 9'',150,Costa Rica
598,26,M,Corey Ashe,Houston Dynamo,28,5' 5'',154,USA
599,NA,M/F,Dairon Asprilla,Portland Timbers,22,5' 11'',165,Colombia
600,24,GK,Jeff Attinella,Real Salt Lake,26,6' 2'',190,USA
601,42,M,Micheal Azira,Seattle Sounders FC,27,5' 10'',160,Uganda
602,NA,M,Mehdi Ballouchy,New York City FC,31,5' 11'',169,Morocco
603,26,D,Brandon Barklage,San Jose Earthquakes,28,5' 11'',165,USA
604,25,D,Darrius Barnes,New England Revolution,28,6' 1'',175,USA
605,23,M,Giles Barnes,Houston Dynamo,26,5' 11'',181,England
606,NA,M,Leandro Barrera,San Jose Earthquakes,23,5' 8'',171,Argentina
607,19,F,Chad Barrett,Seattle Sounders FC,29,5' 11'',185,USA
608,21,D,Chad Barson,Columbus Crew SC,23,5' 10'',170,USA
609,21,D/M,DaMarcus Beasley,Houston Dynamo,32,5' 8'',145,USA
610,5,M,Kyle Beckerman,Real Salt Lake,32,5' 11'',165,USA
611,29,F,Adam Bedell,Columbus Crew SC,23,6' 6'',204,USA
612,33,D/M,Steven Beitashour,Vancouver Whitecaps FC,27,5' 10'',170,USA
613,8,M,Kyle Bekker,Toronto FC,24,5' 9'',165,Canada
614,27,M,Louis B?land-Goyette,Montreal Impact,19,5' 8'',140,Canada
615,2,D,Tony Beltran,Real Salt Lake,27,5' 8'',150,USA
616,12,GK,Joe Bendik,Toronto FC,25,6' 2'',217,USA
617,5,D,V?ctor Bern?rdez,San Jose Earthquakes,32,6' 2'',190,Honduras
618,12,GK,John Berner,Colorado Rapids,23,6' 3'',205,USA
619,8,M,Patrice Bernier,Montreal Impact,35,5' 9'',170,Canada
620,4,D,Austin Berry,Philadelphia Union,26,6' 2'',188,USA
621,5,D,Matt Besler,Sporting Kansas City,27,6',170,USA
622,NA,M,Nick Besler,,21,6' 1'',165,USA
623,16,F,Claudio Bieler,Sporting Kansas City,30,5' 11'',171,Argentina
624,15,D,Steve Birnbaum,D.C. United,23,6' 2'',180,USA
625,1,GK,Andre Blake,Philadelphia Union,24,6' 4'',175,Jamaica
626,28,D,Mark Bloom,Toronto FC,27,5' 11'',162,USA
627,NA,D,Nat Borchers,Portland Timbers,33,6' 2'',175,USA
628,32,D,Bobby Boswell,D.C. United,31,6' 2'',185,USA
629,21,M,Rub?n Bover,New York Red Bulls,22,5' 7'',144,Spain
630,11,F,David Accam,Chicago Fire,24,5' 9'',154,Ghana
631,23,D/M,Kellyn Acosta,FC Dallas,19,5' 10'',150,USA
632,NA,D,Ada?lton,Chicago Fire,31,6' 3'',180,Brazil
633,3,D,Sam Adekugbe,Vancouver Whitecaps FC,19,5' 9'',165,England
634,9,F,Fanendo Adi,Portland Timbers,24,6' 4'',185,Nigeria
635,13,F,Tesho Akindele,FC Dallas,22,6' 1'',170,Canada
636,NA,M,Fatai Alashe,,21,6',170,USA
637,12,M,Eric Alexander,New York Red Bulls,26,6' 1'',165,USA
638,7,D/M,Jordan Allen,Real Salt Lake,19,5' 11'',160,USA
639,6,M,Osvaldo Alonso,Seattle Sounders FC,29,5' 11'',165,Cuba
640,30,D,Kevin Alston,New England Revolution,26,5' 8'',160,USA
641,24,F,Quincy Amarikwa,Chicago Fire,27,5' 9'',180,USA
642,NA,D,Jalil Anibaba,Sporting Kansas City,26,6',185,USA
643,NA,M,Bernardo A?or,Sporting Kansas City,26,5' 8'',158,Venezuela
644,34,M,Manny Aparicio,Toronto FC,19,5' 6'',149,Argentina
645,5,D,Armando,New York Red Bulls,30,6' 1'',175,Spain
646,8,M,Davy Arnaud,D.C. United,34,5' 11'',160,USA
647,NA,F,Jairo Arrieta,Orlando City SC,31,5' 9'',150,Costa Rica
648,26,M,Corey Ashe,Houston Dynamo,28,5' 5'',154,USA
649,NA,M/F,Dairon Asprilla,Portland Timbers,22,5' 11'',165,Colombia
650,24,GK,Jeff Attinella,Real Salt Lake,26,6' 2'',190,USA
651,42,M,Micheal Azira,Seattle Sounders FC,27,5' 10'',160,Uganda
652,NA,M,Mehdi Ballouchy,New York City FC,31,5' 11'',169,Morocco
653,26,D,Brandon Barklage,San Jose Earthquakes,28,5' 11'',165,USA
654,25,D,Darrius Barnes,New England Revolution,28,6' 1'',175,USA
655,23,M,Giles Barnes,Houston Dynamo,26,5' 11'',181,England
656,NA,M,Leandro Barrera,San Jose Earthquakes,23,5' 8'',171,Argentina
657,19,F,Chad Barrett,Seattle Sounders FC,29,5' 11'',185,USA
658,21,D,Chad Barson,Columbus Crew SC,23,5' 10'',170,USA
659,21,D/M,DaMarcus Beasley,Houston Dynamo,32,5' 8'',145,USA
660,5,M,Kyle Beckerman,Real Salt Lake,32,5' 11'',165,USA
661,29,F,Adam Bedell,Columbus Crew SC,23,6' 6'',204,USA
662,33,D/M,Steven Beitashour,Vancouver Whitecaps FC,27,5' 10'',170,USA
663,8,M,Kyle Bekker,Toronto FC,24,5' 9'',165,Canada
664,27,M,Louis B?land-Goyette,Montreal Impact,19,5' 8'',140,Canada
665,2,D,Tony Beltran,Real Salt Lake,27,5' 8'',150,USA
666,12,GK,Joe Bendik,Toronto FC,25,6' 2'',217,USA
667,5,D,V?ctor Bern?rdez,San Jose Earthquakes,32,6' 2'',190,Honduras
668,12,GK,John Berner,Colorado Rapids,23,6' 3'',205,USA
669,8,M,Patrice Bernier,Montreal Impact,35,5' 9'',170,Canada
670,4,D,Austin Berry,Philadelphia Union,26,6' 2'',188,USA
671,5,D,Matt Besler,Sporting Kansas City,27,6',170,USA
672,NA,M,Nick Besler,,21,6' 1'',165,USA
673,16,F,Claudio Bieler,Sporting Kansas City,30,5' 11'',171,Argentina
674,15,D,Steve Birnbaum,D.C. United,23,6' 2'',180,USA
675,1,GK,Andre Blake,Philadelphia Union,24,6' 4'',175,Jamaica
676,28,D,Mark Bloom,Toronto FC,27,5' 11'',162,USA
677,NA,D,Nat Borchers,Portland Timbers,33,6' 2'',175,USA
678,32,D,Bobby Boswell,D.C. United,31,6' 2'',185,USA
679,21,M,Rub?n Bover,New York Red Bulls,22,5' 7'',144,Spain
