rowNumber,displayName,firstName,lastName,leagueShortname,fullName,leagueName,shortName
364,Tomas Rosicky,Tomas,Rosicky,Premier League,Tomas Rosicky,Barclays Premier League,T. Rosicky
365,Wayne Routledge,Wayne,Routledge,Premier League,Wayne Routledge,Barclays Premier League,W. Routledge
366,Loïc Rémy,Loïc,Rémy,Premier League,Loïc Rémy,Barclays Premier League,L. Rémy
367,Yannick Sagbo,Yannick,Sagbo,Premier League,Yannick Sagbo,Barclays Premier League,Y. Sagbo
368,Bacary Sagna,Bacary,Sagna,Premier League,Bacary Sagna,Barclays Premier League,B. Sagna
369,Diafra Sakho,Diafra,Sakho,Premier League,Diafra Sakho,Barclays Premier League,D. Sakho
370,Mamadou Sakho,Mamadou,Sakho,Premier League,Mamadou Sakho,Barclays Premier League,M. Sakho
371,Mohamed Salah,Mohamed,Salah,Premier League,Mohamed Ghaly Salah,Barclays Premier League,M. Salah
372,Giorgos Samaras,Giorgos,Samaras,Premier League,Giorgos Samaras,Barclays Premier League,G. Samaras
373,Adrián,Adrián,San Miguel del Castillo,Premier League,Adrián San Miguel del Castillo,Barclays Premier League,A. San Miguel del Castillo
374,Yaya Sanogo,Yaya,Sanogo,Premier League,Yaya Sanogo,Barclays Premier League,Y. Sanogo
375,Ramires,Ramires,Santos do Nascimento,Premier League,Ramires Santos do Nascimento,Barclays Premier League,R. Santos do Nascimento
376,Jefferey Schlupp,Jefferey,Schlupp,Premier League,Jefferey Schlupp,Barclays Premier League,J. Schlupp
377,Kasper Schmeichel,Kasper,Schmeichel,Premier League,Kasper Schmeichel,Barclays Premier League,K. Schmeichel
378,Morgan Schneiderlin,Morgan,Schneiderlin,Premier League,Morgan Schneiderlin,Barclays Premier League,M. Schneiderlin
379,André Schürrle,André,Schürrle,Premier League,André Schürrle,Barclays Premier League,A. Schürrle
380,Philippe Senderos,Philippe,Senderos,Premier League,Philippe Senderos,Barclays Premier League,P. Senderos
381,Stephane Sessegnon,Stephane,Sessegnon,Premier League,Stephane Sessegnon,Barclays Premier League,S. Sessegnon
382,Jason Shackell,Jason,Shackell,Premier League,Jason Shackell,Barclays Premier League,J. Shackell
383,Luke Shaw,Luke,Shaw,Premier League,Luke Shaw,Barclays Premier League,L. Shaw
384,Ryan Shawcross,Ryan,Shawcross,Premier League,Ryan Shawcross,Barclays Premier League,R. Shawcross
385,Josh Sheehan,Josh,Sheehan,Premier League,Josh Sheehan,Barclays Premier League,J. Sheehan
386,Jonjo Shelvey,Jonjo,Shelvey,Premier League,Jonjo Shelvey,Barclays Premier League,J. Shelvey
387,Oliver Shenton,Oliver,Shenton,Premier League,Oliver Shenton,Barclays Premier League,O. Shenton
388,Liam Shephard,Liam,Shephard,Premier League,Liam Shephard,Barclays Premier League,L. Shephard
389,Steve Sidwell,Steve,Sidwell,Premier League,Steve Sidwell,Barclays Premier League,S. Sidwell
390,Gylfi Sigurdsson,Gylfi,Sigurdsson,Premier League,Gylfi Sigurdsson,Barclays Premier League,G. Sigurdsson
391,David Silva,David,Silva,Premier League,David Jimenez Silva,Barclays Premier League,D. Silva
392,Danny Simpson,Danny,Simpson,Premier League,Danny Simpson,Barclays Premier League,D. Simpson
393,Scott Sinclair,Scott,Sinclair,Premier League,Scott Sinclair,Barclays Premier League,S. Sinclair
394,Moussa Sissoko,Moussa,Sissoko,Premier League,Moussa Sissoko,Barclays Premier League,M. Sissoko
395,Martin Skrtel,Martin,Skrtel,Premier League,Martin Skrtel,Barclays Premier League,M. Skrtel
396,Chris Smalling,Chris,Smalling,Premier League,Chris Smalling,Barclays Premier League,C. Smalling
397,Adam Smith,Adam,Smith,Premier League,Adam Smith,Barclays Premier League,A. Smith
398,Robert Snodgrass,Robert,Snodgrass,Premier League,Robert Snodgrass,Barclays Premier League,R. Snodgrass
399,Dominic Solanke,Dominic,Solanke,Premier League,Dominic Solanke,Barclays Premier League,D. Solanke
400,Roberto Soldado,Roberto,Soldado,Premier League,Roberto Soldado,Barclays Premier League,R. Soldado
401,Alex Song,Alex,Song,Premier League,Alex Song,Barclays Premier League,A. Song
402,Marvin Sordell,Marvin,Sordell,Premier League,Marvin Sordell,Barclays Premier League,M. Sordell
403,Thomas Sorensen,Thomas,Sorensen,Premier League,Thomas Sorensen,Barclays Premier League,T. Sorensen
404,Benjamin Stambouli,Benjamin,Stambouli,Premier League,Benjamin Stambouli,Barclays Premier League,B. Stambouli
405,Jack Stephens,Jack,Stephens,Premier League,Jack Stephens,Barclays Premier League,J. Stephens
406,Raheem Sterling,Raheem,Sterling,Premier League,Raheem Sterling,Barclays Premier League,R. Sterling
407,John Stones,John,Stones,Premier League,John Stones,Barclays Premier League,J. Stones
408,Remie Streete,Remie,Streete,Premier League,Remie Streete,Barclays Premier League,R. Streete
409,Daniel Sturridge,Daniel,Sturridge,Premier League,Daniel Sturridge,Barclays Premier League,D. Sturridge
410,Yun Suk-Young,Yun,Suk-Young,Premier League,Yun Suk-Young,Barclays Premier League,Y. Suk-Young
411,Ki Sung-Yeung,Ki,Sung-Yeung,Premier League,Ki Sung-Yeung,Barclays Premier League,K. Sung-Yeung
412,Wojciech Szczesny,Wojciech,Szczesny,Premier League,Wojciech Szczesny,Barclays Premier League,W. Szczesny
413,Alexis Sánchez,Alexis,Sánchez,Premier League,Alexis Sánchez,Barclays Premier League,A. Sánchez
414,Carlos Sánchez,Carlos,Sánchez,Premier League,Carlos Sánchez,Barclays Premier League,C. Sánchez
415,José Enrique,José,Sánchez Díaz,Premier League,José Enrique Sánchez Díaz,Barclays Premier League,J. Sánchez Díaz
416,Adel Taarabt,Adel,Taarabt,Premier League,Adel Taarabt,Barclays Premier League,A. Taarabt
417,Dusan Tadic,Dusan,Tadic,Premier League,Dusan Tadic,Barclays Premier League,D. Tadic
418,Matt Targett,Matt,Targett,Premier League,Matt Targett,Barclays Premier League,M. Targett
419,Cabral,Adilson Cabral,Tavares Varela,Premier League,Adilson Cabral Tavares Varela,Barclays Premier League,A. Tavares Varela
420,Matthew Taylor,Matthew,Taylor,Premier League,Matthew Taylor,Barclays Premier League,M. Taylor
421,Neil Taylor,Neil,Taylor,Premier League,Neil Taylor,Barclays Premier League,N. Taylor
422,Ryan Taylor,Ryan,Taylor,Premier League,Ryan Taylor,Barclays Premier League,R. Taylor
423,Steven Taylor,Steven,Taylor,Premier League,Steven Taylor,Barclays Premier League,S. Taylor
424,Gary Taylor-Fletcher,Gary,Taylor-Fletcher,Premier League,Gary Taylor-Fletcher,Barclays Premier League,G. Taylor-Fletcher
425,Saphir Taïder,Saphir,Taïder,Premier League,Saphir Taïder,Barclays Premier League,S. Taïder
426,Dionatan Teixeira,Dionatan,Teixeira,Premier League,Dionatan do Nascimento Teixeira,Barclays Premier League,D. Teixeira
427,John Terry,John,Terry,Premier League,John Terry,Barclays Premier League,J. Terry
428,Jerome Thomas,Jerome,Thomas,Premier League,Jerome Thomas,Barclays Premier League,J. Thomas
429,Tom Thorpe,Tom,Thorpe,Premier League,Tom Thorpe,Barclays Premier League,T. Thorpe
430,Dwight Tiendalli,Dwight,Tiendalli,Premier League,Dwight Tiendalli,Barclays Premier League,D. Tiendalli
431,Ismael Tioté,Ismael,Tioté,Premier League,Ismael Tioté,Barclays Premier League,I. Tioté
432,James Tomkins,James,Tomkins,Premier League,James Tomkins,Barclays Premier League,J. Tomkins
433,Fernando Torres,Fernando,Torres,Premier League,Fernando Torres,Barclays Premier League,F. Torres
434,Kolo Touré,Kolo,Touré,Premier League,Kolo Touré,Barclays Premier League,K. Touré
435,Yaya Touré,Yaya,Touré,Premier League,Yaya Touré,Barclays Premier League,Y. Touré
436,Andros Townsend,Andros,Townsend,Premier League,Andros Townsend,Barclays Premier League,A. Townsend
437,Armand Traore,Armand,Traore,Premier League,Armand Traore,Barclays Premier League,A. Traore
438,Gerhard Tremmel,Gerhard,Tremmel,Premier League,Gerhard Tremmel,Barclays Premier League,G. Tremmel
439,Kieran Trippier,Kieran,Trippier,Premier League,Kieran Trippier,Barclays Premier League,K. Trippier
440,Leonardo Ulloa,José,Ulloa,Premier League,José Leonardo Ulloa,Barclays Premier League,J. Ulloa
441,Antonio Valencia,Antonio,Valencia,Premier League,Antonio Valencia,Barclays Premier League,A. Valencia
442,Enner Valencia,Enner,Valencia,Premier League,Enner Valencia,Barclays Premier League,E. Valencia
443,Patrick Van Aanholt,Patrick,Van Aanholt,Premier League,Patrick Van Aanholt,Barclays Premier League,P. Van Aanholt
444,Robin van Persie,Robin,van Persie,Premier League,Robin van Persie,Barclays Premier League,R. van Persie
445,Jamie Vardy,Jamie,Vardy,Premier League,Jamie Vardy,Barclays Premier League,J. Vardy
446,Eduardo Vargas,Eduardo,Vargas,Premier League,Eduardo Vargas,Barclays Premier League,E. Vargas
447,Ricardo Vaz Te,Ricardo,Vaz Te,Premier League,Ricardo Vaz Te,Barclays Premier League,R. Vaz Te
448,Santiago Vergini,Santiago,Vergini,Premier League,Santiago Vergini,Barclays Premier League,S. Vergini
449,Marnick Vermijl,Marnick,Vermijl,Premier League,Marnick Vermijl,Barclays Premier League,M. Vermijl
450,Jan Vertonghen,Jan,Vertonghen,Premier League,Jan Vertonghen,Barclays Premier League,J. Vertonghen
451,Ron Vlaar,Ron,Vlaar,Premier League,Ron Vlaar,Barclays Premier League,R. Vlaar
452,Michel Vorm,Michel,Vorm,Premier League,Michel Vorm,Barclays Premier League,M. Vorm
453,Theo Walcott,Theo,Walcott,Premier League,Theo Walcott,Barclays Premier League,T. Walcott
454,Jonathan Walters,Jonathan,Walters,Premier League,Jonathan Walters,Barclays Premier League,J. Walters
455,Victor Wanyama,Victor,Wanyama,Premier League,Victor Wanyama,Barclays Premier League,V. Wanyama
456,Joel Ward,Joel,Ward,Premier League,Joel Ward,Barclays Premier League,J. Ward
457,Stephen Ward,Stephen,Ward,Premier League,Stephen Ward,Barclays Premier League,S. Ward
458,James Ward-Prowse,James,Ward-Prowse,Premier League,James Ward-Prowse,Barclays Premier League,J. Ward-Prowse
459,Marcin Wasilewski,Marcin,Wasilewski,Premier League,Marcin Wasilewski,Barclays Premier League,M. Wasilewski
460,Rory Watson,Rory,Watson,Premier League,Rory Watson,Barclays Premier League,R. Watson
461,Andreas Weimann,Andreas,Weimann,Premier League,Andreas Weimann,Barclays Premier League,A. Weimann
462,Danny Welbeck,Danny,Welbeck,Premier League,Danny Welbeck,Barclays Premier League,D. Welbeck
463,Ashley Westwood,Ashley,Westwood,Premier League,Ashley Westwood,Barclays Premier League,A. Westwood
464,Glenn Whelan,Glenn,Whelan,Premier League,Glenn Whelan,Barclays Premier League,G. Whelan
465,Connor Wickham,Connor,Wickham,Premier League,Connor Wickham,Barclays Premier League,C. Wickham
466,Ashley Williams,Ashley,Williams,Premier League,Ashley Williams,Barclays Premier League,A. Williams
467,Jonathan Williams,Jonathan,Williams,Premier League,Jonathan Williams,Barclays Premier League,J. Williams
468,Michael Williamson,Michael,Williamson,Premier League,Michael Williamson,Barclays Premier League,M. Williamson
469,Jack Wilshere,Jack,Wilshere,Premier League,Jack Wilshere,Barclays Premier League,J. Wilshere
470,James Wilson,James,Wilson,Premier League,James Wilson,Barclays Premier League,J. Wilson
471,Marc Wilson,Marc,Wilson,Premier League,Marc Wilson,Barclays Premier League,M. Wilson
472,Andre Wisdom,Andre,Wisdom,Premier League,Andre Wisdom,Barclays Premier League,A. Wisdom
473,Chris Wood,Chris,Wood,Premier League,Chris Wood,Barclays Premier League,C. Wood
474,Shaun Wright-Phillips,Shaun,Wright-Phillips,Premier League,Shaun Wright-Phillips,Barclays Premier League,S. Wright-Phillips
475,Claudio Yacob,Claudio,Yacob,Premier League,Claudio Yacob,Barclays Premier League,C. Yacob
476,Maya Yoshida,Maya,Yoshida,Premier League,Maya Yoshida,Barclays Premier League,M. Yoshida
477,Ashley Young,Ashley,Young,Premier League,Ashley Young,Barclays Premier League,A. Young
478,Pablo Zabaleta,Pablo,Zabaleta,Premier League,Pablo Zabaleta,Barclays Premier League,P. Zabaleta
479,Wilfried Zaha,Wilfried,Zaha,Premier League,Wilfried Zaha,Barclays Premier League,W. Zaha
480,Bobby Zamora,Bobby,Zamora,Premier League,Bobby Zamora,Barclays Premier League,B. Zamora
481,Kurt Zouma,Kurt,Zouma,Premier League,Kurt Zouma,Barclays Premier League,K. Zouma
482,Mauro Zárate,Mauro,Zárate,Premier League,Mauro Zárate,Barclays Premier League,M. Zárate
483,Ricardo Álvarez,Ricardo,Álvarez,Premier League,Ricardo Álvarez,Barclays Premier League,R. Álvarez
484,Mesut Özil,Mesut,Özil,Premier League,Mesut Özil,Barclays Premier League,M. Özil
485,Nani,Nani,,Premier League,,Barclays Premier League,Nani
486,John Swift,John,Swift,Premier League,John Swift,Barclays Premier League,J. Swift
487,Wojciech Szczesny,Wojciech,Szczesny,Premier League,Wojciech Szczesny,Barclays Premier League,W. Szczesny
488,Alexis Sánchez,Alexis,Sánchez,Premier League,Alexis Sánchez,Barclays Premier League,A. Sánchez
489,José Enrique,José,Sánchez Díaz,Premier League,José Enrique Sánchez Díaz,Barclays Premier League,J. Sánchez Díaz
490,Adel Taarabt,Adel,Taarabt,Premier League,Adel Taarabt,Barclays Premier League,A. Taarabt
491,Dusan Tadic,Dusan,Tadic,Premier League,Dusan Tadic,Barclays Premier League,D. Tadic
492,Alan Tate,Alan,Tate,Premier League,Alan Tate,Barclays Premier League,A. Tate
493,Cabral,Adilson Cabral,Tavares Varela,Premier League,Adilson Cabral Tavares Varela,Barclays Premier League,A. Tavares Varela
494,Matthew Taylor,Matthew,Taylor,Premier League,Matthew Taylor,Barclays Premier League,M. Taylor
495,Neil Taylor,Neil,Taylor,Premier League,Neil Taylor,Barclays Premier League,N. Taylor
496,Ryan Taylor,Ryan,Taylor,Premier League,Ryan Taylor,Barclays Premier League,R. Taylor
497,Steven Taylor,Steven,Taylor,Premier League,Steven Taylor,Barclays Premier League,S. Taylor
498,Gary Taylor-Fletcher,Gary,Taylor-Fletcher,Premier League,Gary Taylor-Fletcher,Barclays Premier League,G. Taylor-Fletcher
499,Dionatan do Nascimento Teixeira,Dionatan,Teixeira,Premier League,Dionatan do Nascimento Teixeira,Barclays Premier League,D. Teixeira
500,John Terry,John,Terry,Premier League,John Terry,Barclays Premier League,J. Terry
501,Jerome Thomas,Jerome,Thomas,Premier League,Jerome Thomas,Barclays Premier League,J. Thomas
502,Dwight Tiendalli,Dwight,Tiendalli,Premier League,Dwight Tiendalli,Barclays Premier League,D. Tiendalli
503,Ismael Tioté,Ismael,Tioté,Premier League,Ismael Tioté,Barclays Premier League,I. Tioté
504,James Tomkins,James,Tomkins,Premier League,James Tomkins,Barclays Premier League,J. Tomkins
505,Aleksandar Tonev,Aleksandar,Tonev,Premier League,Aleksandar Tonev,Barclays Premier League,A. Tonev
506,Fernando Torres,Fernando,Torres,Premier League,Fernando Torres,Barclays Premier League,F. Torres
507,Kolo Touré,Kolo,Touré,Premier League,Kolo Touré,Barclays Premier League,K. Touré
508,Yaya Touré,Yaya,Touré,Premier League,Yaya Touré,Barclays Premier League,Y. Touré
509,Andros Townsend,Andros,Townsend,Premier League,Andros Townsend,Barclays Premier League,A. Townsend
510,Conor Townsend,Conor,Townsend,Premier League,Conor Townsend,Barclays Premier League,C. Townsend
511,Armand Traore,Armand,Traore,Premier League,Armand Traore,Barclays Premier League,A. Traore
512,Gerhard Tremmel,Gerhard,Tremmel,Premier League,Gerhard Tremmel,Barclays Premier League,G. Tremmel
513,Keiran Trippier,Keiran,Trippier,Premier League,Keiran Trippier,Barclays Premier League,K. Trippier
514,José Ulloa,José,Ulloa,Premier League,José Leonardo Ulloa,Barclays Premier League,J. Ulloa
515,Matthew Upson,Matthew,Upson,Premier League,Matthew Upson,Barclays Premier League,M. Upson
516,Antonio Valencia,Antonio,Valencia,Premier League,Antonio Valencia,Barclays Premier League,A. Valencia
517,Enner Valencia,Enner,Valencia,Premier League,Enner Valencia,Barclays Premier League,E. Valencia
518,Patrick Van Aanholt,Patrick,Van Aanholt,Premier League,Patrick Van Aanholt,Barclays Premier League,P. Van Aanholt
519,Marco van Ginkel,Marco,van Ginkel,Premier League,Marco van Ginkel,Barclays Premier League,M. van Ginkel
520,Robin van Persie,Robin,van Persie,Premier League,Robin van Persie,Barclays Premier League,R. van Persie
521,Jamie Vardy,Jamie,Vardy,Premier League,Jamie Vardy,Barclays Premier League,J. Vardy
522,Gullermo Varela,Gullermo,Varela,Premier League,Gullermo Varela,Barclays Premier League,G. Varela
523,Ricardo Vaz Te,Ricardo,Vaz Te,Premier League,Ricardo Vaz Te,Barclays Premier League,R. Vaz Te
524,Milos Veljkovic,Milos,Veljkovic,Premier League,Milos Veljkovic,Barclays Premier League,M. Veljkovic
525,Thomas Vermaelen,Thomas,Vermaelen,Premier League,Thomas Vermaelen,Barclays Premier League,T. Vermaelen
526,Jan Vertonghen,Jan,Vertonghen,Premier League,Jan Vertonghen,Barclays Premier League,J. Vertonghen
527,João Carlos,,Vilaça Teixeira,Premier League," Vilaça Teixeira",Barclays Premier League,Vilaça Teixeira
528,Ron Vlaar,Ron,Vlaar,Premier League,Ron Vlaar,Barclays Premier League,R. Vlaar
529,Sam Vokes,Sam,Vokes,Premier League,Sam Vokes,Barclays Premier League,S. Vokes
530,Michel Vorm,Michel,Vorm,Premier League,Michel Vorm,Barclays Premier League,M. Vorm
531,Haris Vuckic,Haris,Vuckic,Premier League,Haris Vuckic,Barclays Premier League,H. Vuckic
532,Theo Walcott,Theo,Walcott,Premier League,Theo Walcott,Barclays Premier League,T. Walcott
533,Kyle Walker,Kyle,Walker,Premier League,Kyle Walker,Barclays Premier League,K. Walker
534,Ross Wallace,Ross,Wallace,Premier League,Ross Wallace,Barclays Premier League,R. Wallace
535,Jonathan Walters,Jonathan,Walters,Premier League,Jonathan Walters,Barclays Premier League,J. Walters
536,Pablo Zabaleta,Pablo,Zabaleta,Premier League,Pablo Zabaleta,Barclays Premier League,P. Zabaleta
537,Gregor Zabret,Gregor,Zabret,Premier League,Gregor Zabret,Barclays Premier League,G. Zabret
538,Wilfried Zaha,Wilfried,Zaha,Premier League,Wilfried Zaha,Barclays Premier League,W. Zaha
539,Bobby Zamora,Bobby,Zamora,Premier League,Bobby Zamora,Barclays Premier League,B. Zamora
540,Gideon Zelalem,Gideon,Zelalem,Premier League,Gideon Zelalem,Barclays Premier League,G. Zelalem
541,Kurt Zouma,Kurt,Zouma,Premier League,Kurt Zouma,Barclays Premier League,K. Zouma
542,Bruno Zuculini,Bruno,Zuculini,Premier League,Bruno Zuculini,Barclays Premier League,B. Zuculini
543,Mauro Zárate,Mauro,Zárate,Premier League,Mauro Zárate,Barclays Premier League,M. Zárate
544,Mesut Özil,Mesut,Özil,Premier League,Mesut Özil,Barclays Premier League,M. Özil
545,Nani,Nani,,Premier League,,Barclays Premier League,Nani
