rowNumber,sn,fn,ln,no,ps,nt,db,ag,ht,go/at,cb,cn
256,Eray ????can,,Eray ????can,67,1,TUR,19.07.1991,24,195,0,Galatasaray,TUR
257,G??nter,Koray,G??nter,28,2,GER,16.08.1994,21,185,0,Galatasaray,TUR
258,Hakan Balta,,Hakan Balta,22,2,TUR,23.03.1983,32,184,1,Galatasaray,TUR
259,Hamit Alt??ntop,,Hamit Alt??ntop,4,3,TUR,08.12.1982,32,183,2,Galatasaray,TUR
260,Jem Paul Karacan,,Jem Paul Karacan,6,3,TUR,21.02.1989,26,178,0,Galatasaray,TUR
261,Jos?? Rodr??guez,,Jos?? Rodr??guez,14,3,ESP,16.12.1994,20,180,0,Galatasaray,TUR
262,Muslera,Fernando,Muslera,1,1,URU,16.06.1986,29,190,0,Galatasaray,TUR
263,Olcan Ad??n,,Olcan Ad??n,29,3,TUR,30.09.1985,29,176,0,Galatasaray,TUR
264,Podolski,Lukas,Podolski,11,4,GER,04.06.1985,30,182,11,Galatasaray,TUR
265,Sabri Sar??o??lu,,Sabri Sar??o??lu,55,2,TUR,26.07.1984,31,170,2,Galatasaray,TUR
266,Sel??uk ??nan,,Sel??uk ??nan,8,3,TUR,10.02.1985,30,182,0,Galatasaray,TUR
267,Semih Kaya,,Semih Kaya,26,2,TUR,24.02.1991,24,182,0,Galatasaray,TUR
268,Sinan G??m??s,,Sinan G??m??s,18,4,TUR,15.01.1994,21,179,0,Galatasaray,TUR
269,Sneijder,Wesley,Sneijder,10,3,NED,09.06.1984,31,170,15,Galatasaray,TUR
270,Tar??k ??amdal,,Tar??k ??amdal,38,2,TUR,24.03.1991,24,172,0,Galatasaray,TUR
271,Umut Bulut,,Umut Bulut,9,4,TUR,15.03.1983,32,184,4,Galatasaray,TUR
272,Yasin ??ztekin,,Yasin ??ztekin,7,3,TUR,19.03.1987,28,179,0,Galatasaray,TUR
273,Adriano,,Adriano,21,2,BRA,26.10.1984,30,172,1,Barcelona,ESP
274,David Babunski,David,Babunski,29,3,MKD,01.03.1994,21,,0,Barcelona,ESP
275,Bartra,Marc,Bartra,15,2,ESP,15.01.1991,24,183,0,Barcelona,ESP
276,Bravo,Claudio,Bravo,13,1,CHI,13.04.1983,32,184,0,Barcelona,ESP
277,Busquets,Sergio,Busquets,5,3,ESP,16.07.1988,27,189,4,Barcelona,ESP
278,C??mara,Juan,C??mara,27,3,ESP,13.02.1994,21,,0,Barcelona,ESP
279,Dani Alves,,Dani Alves,6,2,BRA,06.05.1983,32,173,7,Barcelona,ESP
280,Douglas,,Douglas,2,2,BRA,06.08.1990,25,171,0,Barcelona,ESP
281,Grimaldo,Alejandro,Grimaldo,30,2,ESP,20.09.1995,19,170,0,Barcelona,ESP
282,Gumbau,Gerard,Gumbau,28,3,ESP,18.12.1994,20,188,0,Barcelona,ESP
283,Iniesta,Andr??s,Iniesta,8,3,ESP,11.05.1984,31,170,10,Barcelona,ESP
284,Jordi Alba,,Jordi Alba,18,2,ESP,21.03.1989,26,170,2,Barcelona,ESP
285,Mascherano,Javier,Mascherano,14,2,ARG,08.06.1984,31,174,0,Barcelona,ESP
286,Masip,Jordi,Masip,25,1,ESP,03.01.1989,26,179,0,Barcelona,ESP
287,Mathieu,J??r??my,Mathieu,24,2,FRA,29.10.1983,31,189,0,Barcelona,ESP
288,Messi,Lionel,Messi,10,4,ARG,24.06.1987,28,169,77,Barcelona,ESP
289,Munir El Haddadi,,Munir El Haddadi,17,4,ESP,01.09.1995,20,175,0,Barcelona,ESP
290,Neymar,,Neymar,11,4,BRA,05.02.1992,23,175,14,Barcelona,ESP
291,Piqu??,Gerard,Piqu??,3,2,ESP,02.02.1987,28,192,9,Barcelona,ESP
292,Rafinha,,Rafinha,12,3,ESP,12.02.1993,22,174,0,Barcelona,ESP
293,Rakiti??,Ivan,Rakiti??,4,3,CRO,10.03.1988,27,184,2,Barcelona,ESP
294,Samper,Sergi,Samper,26,3,ESP,20.01.1995,20,181,0,Barcelona,ESP
295,Sandro Ram??rez,,Sandro Ram??rez,19,4,ESP,09.07.1995,20,175,1,Barcelona,ESP
296,Sergi Roberto,,Sergi Roberto,20,3,ESP,07.02.1992,23,177,1,Barcelona,ESP
297,Su??rez,Jos?? Aurelio,Su??rez,31,1,ESP,18.12.1995,19,191,0,Barcelona,ESP
298,Su??rez,Luis,Su??rez,9,4,URU,24.01.1987,28,181,13,Barcelona,ESP
299,ter Stegen,Marc-Andr??,ter Stegen,1,1,GER,30.04.1992,23,187,0,Barcelona,ESP
300,Vermaelen,Thomas,Vermaelen,23,2,BEL,14.11.1985,29,180,1,Barcelona,ESP
301,Andr?? Ramalho,,Andr?? Ramalho,2,2,BRA,16.02.1992,23,182,0,Leverkusen,GER
302,Bellarabi,Karim,Bellarabi,38,3,GER,08.04.1990,25,183,3,Leverkusen,GER
303,L. Bender,Lars,Bender,8,3,GER,27.04.1989,26,183,1,Leverkusen,GER
304,Boenisch,Sebastian,Boenisch,17,2,POL,01.02.1987,28,191,0,Leverkusen,GER
305,Brandt,Julian,Brandt,19,3,GER,02.05.1996,19,183,0,Leverkusen,GER
306,Donati,Giulio,Donati,26,2,ITA,05.02.1990,25,181,1,Leverkusen,GER
307,Frey,Marlon,Frey,37,3,GER,24.03.1996,19,,0,Leverkusen,GER
308,Hakan ??alhano??lu,,Hakan ??alhano??lu,10,3,TUR,08.02.1994,21,176,6,Leverkusen,GER
309,Hern??ndez,Javier,Hern??ndez,7,4,MEX,01.06.1988,27,175,9,Leverkusen,GER
310,Hilbert,Roberto,Hilbert,13,2,GER,16.10.1984,30,182,0,Leverkusen,GER
311,Jedvaj,Tin,Jedvaj,16,2,CRO,28.11.1995,19,184,0,Leverkusen,GER
312,Kampl,Kevin,Kampl,44,3,SVN,09.10.1990,24,180,0,Leverkusen,GER
313,Kiessling,Stefan,Kiessling,11,4,GER,25.01.1984,31,191,7,Leverkusen,GER
314,Kramer,Christoph,Kramer,23,3,GER,19.02.1991,24,190,0,Leverkusen,GER
315,Kre??i??,Dario,Kre??i??,25,1,CRO,11.01.1984,31,199,0,Leverkusen,GER
316,Leno,Bernd,Leno,1,1,GER,04.03.1992,23,188,0,Leverkusen,GER
317,Mehmedi,Admir,Mehmedi,14,4,SUI,16.03.1991,24,183,4,Leverkusen,GER
318,??mer Toprak,,??mer Toprak,21,2,TUR,21.07.1989,26,186,2,Leverkusen,GER
319,Papadopoulos,Kyriakos,Papadopoulos,5,2,GRE,23.02.1992,23,183,1,Leverkusen,GER
320,Ryu,Seung-Woo,Ryu,24,4,KOR,17.12.1993,21,,0,Leverkusen,GER
321,Tah,Jonathan,Tah,4,2,GER,11.02.1996,19,,0,Leverkusen,GER
322,Wendell,,Wendell,18,2,BRA,20.07.1993,22,176,0,Leverkusen,GER
323,Yelldell,David,Yelldell,22,1,USA,01.10.1981,33,194,0,Leverkusen,GER
324,Yurchenko,Vladlen,Yurchenko,35,3,UKR,22.01.1994,21,178,0,Leverkusen,GER
325,Ag??ero,Dami??n,Ag??ero,33,4,ESP,18.01.1997,18,,0,Atl??tico,ESP
326,Barrag??n,Bernab??,Barrag??n,25,1,ESP,18.02.1993,22,,0,Atl??tico,ESP
327,Benjam??n,,Benjam??n,29,3,GHA,04.01.1994,21,178,0,Atl??tico,ESP
328,Ca??ete,,Ca??ete,28,2,ESP,22.04.1995,20,185,0,Atl??tico,ESP
329,Correa,??ngel,Correa,16,3,ARG,09.03.1995,20,174,0,Atl??tico,ESP
330,Del Amo,Oscar,Del Amo,35,2,ESP,24.10.1997,17,,0,Atl??tico,ESP
331,Ferreira-Carrasco,Yannick,Ferreira-Carrasco,21,4,BEL,04.09.1993,22,180,1,Atl??tico,ESP
332,Filipe Lu??s,,Filipe Lu??s,3,2,BRA,09.08.1985,30,188,1,Atl??tico,ESP
333,Gabi,,Gabi,14,3,ESP,10.07.1983,32,180,0,Atl??tico,ESP
334,G??mez,Jes??s,G??mez,18,2,ESP,10.04.1985,30,182,0,Atl??tico,ESP
335,Gim??nez,Jos?? Mar??a,Gim??nez,24,2,URU,20.01.1995,20,185,0,Atl??tico,ESP
336,God??n,Diego,God??n,2,2,URU,16.02.1986,29,186,3,Atl??tico,ESP
337,Griezmann,Antoine,Griezmann,7,3,FRA,21.03.1991,24,176,5,Atl??tico,ESP
338,Guille P??rez,,Guille P??rez,41,1,ESP,10.01.1997,18,,0,Atl??tico,ESP
339,Hern??ndez,Mario,Hern??ndez,37,2,ESP,25.01.1999,16,,0,Atl??tico,ESP
340,Jaime Almagro,,Jaime Almagro,34,3,ESP,14.03.1997,18,,0,Atl??tico,ESP
341,Juan Moreno,,Juan Moreno,39,3,ESP,11.05.1997,18,175,0,Atl??tico,ESP
342,Juanfran,,Juanfran,20,2,ESP,09.01.1985,30,180,0,Atl??tico,ESP
343,Koke,,Koke,6,3,ESP,08.01.1992,23,178,3,Atl??tico,ESP
344,Lucas Hern??ndez,,Lucas Hern??ndez,19,2,FRA,14.02.1996,19,180,0,Atl??tico,ESP
345,Mart??nez,Jackson,Mart??nez,11,4,COL,03.10.1986,28,184,13,Atl??tico,ESP
346,Morales,Carlos,Morales,38,1,ESP,28.07.1996,19,,0,Atl??tico,ESP
347,Moy??,Miguel ??ngel,Moy??,1,1,ESP,02.04.1984,31,189,0,Atl??tico,ESP
348,Muguruza,??lvaro,Muguruza,40,2,ESP,10.05.1997,18,,0,Atl??tico,ESP
349,Nacho Monsalve,,Nacho Monsalve,27,2,ESP,27.04.1994,21,180,0,Atl??tico,ESP
350,Nica Gomes,,Nica Gomes,36,3,ESP,07.07.1997,18,,0,Atl??tico,ESP
351,Nu??ez,Roberto,Nu??ez,30,4,ESP,03.01.1996,19,,0,Atl??tico,ESP
352,Oblak,Jan,Oblak,13,1,SVN,07.01.1993,22,186,0,Atl??tico,ESP
353,??liver Torres,,??liver Torres,10,3,ESP,10.11.1994,20,178,0,Atl??tico,ESP
354,Partey,Thomas,Partey,22,3,GHA,13.06.1993,22,185,0,Atl??tico,ESP
355,Rentero,Alberto,Rentero,42,3,ESP,24.03.1997,18,,0,Atl??tico,ESP
356,San Rom??n,Miguel,San Rom??n,43,1,ESP,14.07.1997,18,,0,Atl??tico,ESP
357,San??,Arona,San??,31,3,SEN,21.06.1995,20,,0,Atl??tico,ESP
358,Sa??l ????guez,,Sa??l ????guez,17,3,ESP,21.11.1994,20,180,0,Atl??tico,ESP
359,Savi??,Stefan,Savi??,15,2,MNE,08.01.1991,24,186,0,Atl??tico,ESP
360,Siqueira,Guilherme,Siqueira,4,2,ITA,28.04.1986,29,183,0,Atl??tico,ESP
361,Talavera,Gonzalo,Talavera,44,2,ESP,15.07.1997,18,,0,Atl??tico,ESP
362,Tiago,,Tiago,5,3,POR,02.05.1981,34,183,4,Atl??tico,ESP
363,Torres,Fernando,Torres,9,4,ESP,20.03.1984,31,186,18,Atl??tico,ESP
364,Vietto,Luciano,Vietto,23,4,ARG,05.12.1993,21,173,0,Atl??tico,ESP
365,Villa,Samuel,Villa,32,4,ESP,16.09.1994,21,176,0,Atl??tico,ESP
366,Xu Xin,,Xu Xin,26,3,CHN,19.04.1994,21,179,0,Atl??tico,ESP
367,Capradossi,Elio,Capradossi,95,2,ITA,11.03.1996,19,185,0,Roma,ITA
368,Crisanto,Lorenzo,Crisanto,98,1,ITA,20.04.1998,17,,0,Roma,ITA
369,De Rossi,Daniele,De Rossi,16,3,ITA,24.07.1983,32,184,4,Roma,ITA
370,De Sanctis,Morgan,De Sanctis,26,1,ITA,26.03.1977,38,190,0,Roma,ITA
371,Di Livio,Lorenzo,Di Livio,52,3,ITA,11.01.1997,18,,0,Roma,ITA
372,Digne,Lucas,Digne,3,2,FRA,20.07.1993,22,178,1,Roma,ITA
373,D'Urso,Christian,D'Urso,53,3,ITA,26.07.1997,18,,0,Roma,ITA
374,D??eko,Edin,D??eko,9,4,BIH,17.03.1986,29,193,7,Roma,ITA
375,Falqu??,Iago,Falqu??,14,3,ESP,04.01.1990,25,172,0,Roma,ITA
376,Florenzi,Alessandro,Florenzi,24,3,ITA,11.03.1991,24,173,1,Roma,ITA
377,Gervinho,,Gervinho,27,4,CIV,27.05.1987,28,179,5,Roma,ITA
378,Iturbe,Juan Manuel,Iturbe,7,3,PAR,04.06.1993,22,169,1,Roma,ITA
379,Keita,Seydou,Keita,20,3,MLI,16.01.1980,35,183,6,Roma,ITA
380,Leandro Cast??n,,Leandro Cast??n,5,2,BRA,05.11.1986,28,184,0,Roma,ITA
381,Maicon,,Maicon,13,2,BRA,26.07.1981,34,184,5,Roma,ITA
382,Manolas,Kostas,Manolas,44,2,GRE,14.06.1991,24,186,2,Roma,ITA
383,Marchizza,Riccardo,Marchizza,91,2,ITA,26.03.1998,17,,0,Roma,ITA
384,Nainggolan,Radja,Nainggolan,4,3,BEL,04.05.1988,27,176,0,Roma,ITA
385,Pjani??,Miralem,Pjani??,15,3,BIH,02.04.1990,25,180,6,Roma,ITA
386,R??diger,Antonio,R??diger,2,2,GER,03.03.1993,22,190,0,Roma,ITA
387,Salah,Mohamed,Salah,11,4,EGY,15.06.1992,23,175,5,Roma,ITA
388,Salih U??an,,Salih U??an,48,3,TUR,06.01.1994,21,182,0,Roma,ITA
389,Soleri,Edoardo,Soleri,92,4,ITA,19.10.1997,17,,0,Roma,ITA
390,Szcz??sny,Wojciech,Szcz??sny,25,1,POL,18.04.1990,25,195,0,Roma,ITA
391,Torosidis,Vasilis,Torosidis,35,2,GRE,10.06.1985,30,185,2,Roma,ITA
392,Totti,Francesco,Totti,10,4,ITA,27.09.1976,38,180,17,Roma,ITA
393,Tumminello,Marco,Tumminello,93,4,ITA,06.11.1998,16,,0,Roma,ITA
394,Vainqueur,William,Vainqueur,21,3,FRA,19.11.1988,26,179,0,Roma,ITA
395,Alex Sandro,,Alex Sandro,12,2,BRA,26.01.1991,24,179,0,Juventus,ITA
396,Audero,Emil,Audero,38,1,ITA,18.01.1997,18,189,0,Juventus,ITA
397,Barzagli,Andrea,Barzagli,15,2,ITA,08.05.1981,34,186,0,Juventus,ITA
398,Bonucci,Leonardo,Bonucci,19,2,ITA,01.05.1987,28,190,1,Juventus,ITA
399,Buffon,Gianluigi,Buffon,1,1,ITA,28.01.1978,37,192,0,Juventus,ITA
400,C??ceres,Mart??n,C??ceres,4,2,URU,07.04.1987,28,182,0,Juventus,ITA
401,Chiellini,Giorgio,Chiellini,3,2,ITA,14.08.1984,31,186,2,Juventus,ITA
402,Cuadrado,Juan,Cuadrado,16,4,COL,26.05.1988,27,176,0,Juventus,ITA
403,Dybala,Paulo,Dybala,21,4,ARG,15.11.1993,21,177,0,Juventus,ITA
404,Evra,Patrice,Evra,33,2,FRA,15.05.1981,34,175,2,Juventus,ITA
405,Hernanes,,Hernanes,11,3,BRA,29.05.1985,30,180,0,Juventus,ITA
406,Khedira,Sami,Khedira,6,3,GER,04.04.1987,28,189,1,Juventus,ITA
407,Lemina,Mario,Lemina,18,3,FRA,01.09.1993,22,182,0,Juventus,ITA
408,Lichtsteiner,Stephan,Lichtsteiner,26,2,SUI,16.01.1984,31,180,0,Juventus,ITA
409,Mand??uki??,Mario,Mand??uki??,17,4,CRO,21.05.1986,29,186,19,Juventus,ITA
410,Marchisio,Claudio,Marchisio,8,3,ITA,19.01.1986,29,179,2,Juventus,ITA
411,Morata,??lvaro,Morata,9,4,ESP,23.10.1992,22,187,7,Juventus,ITA
412,Neto,,Neto,25,1,BRA,19.07.1989,26,191,0,Juventus,ITA
413,Pereyra,Roberto,Pereyra,37,3,ARG,07.01.1991,24,184,0,Juventus,ITA
414,Pogba,Paul,Pogba,10,3,FRA,15.03.1993,22,186,1,Juventus,ITA
415,Rugani,Daniele,Rugani,24,2,ITA,29.07.1994,21,188,0,Juventus,ITA
416,Sturaro,Stefano,Sturaro,27,3,ITA,09.03.1993,22,178,0,Juventus,ITA
417,Zaza,Simone,Zaza,7,4,ITA,25.06.1991,24,186,0,Juventus,ITA
418,Alex Alfaiate,,Alex Alfaiate,75,2,POR,17.08.1995,20,182,0,Benfica,POR
419,Andr?? Almeida,,Andr?? Almeida,34,2,POR,10.09.1990,25,185,0,Benfica,POR
420,Andr?? Ferreira,,Andr?? Ferreira,86,1,POR,29.05.1996,19,,0,Benfica,POR
421,Buta,,Buta,94,4,POR,10.02.1997,18,,0,Benfica,POR
422,Carcela-Gonz??lez,Mehdi,Carcela-Gonz??lez,39,3,MAR,01.07.1989,26,176,0,Benfica,POR
423,Cristante,Bryan,Cristante,24,3,ITA,03.03.1995,20,186,0,Benfica,POR
424,Ederson,,Ederson,1,1,BRA,17.08.1993,22,188,0,Benfica,POR
425,Eliseu,,Eliseu,19,2,POR,01.10.1983,31,175,5,Benfica,POR
426,Fejsa,Ljubomir,Fejsa,5,3,SRB,14.08.1988,27,185,0,Benfica,POR
427,Francisco Ferreira,,Francisco Ferreira,97,2,POR,26.03.1997,18,,0,Benfica,POR
428,Gait??n,Nicol??s,Gait??n,10,3,ARG,23.02.1988,27,173,3,Benfica,POR
429,Gilson Costa,,Gilson Costa,55,3,POR,24.09.1996,18,,0,Benfica,POR
430,Gon??alo Guedes,,Gon??alo Guedes,20,4,POR,29.11.1996,18,179,0,Benfica,POR
431,Gon??alo Rodrigues,,Gon??alo Rodrigues,68,3,POR,18.07.1997,18,,0,Benfica,POR
432,Hildeberto Pereira,,Hildeberto Pereira,99,4,POR,02.03.1996,19,,0,Benfica,POR
433,Jardel,,Jardel,33,2,BRA,29.03.1986,29,192,0,Benfica,POR
434,Jim??nez,Ra??l,Jim??nez,9,4,MEX,05.05.1991,24,190,0,Benfica,POR
435,Jo??o Carvalho,,Jo??o Carvalho,90,3,POR,09.03.1997,18,,0,Benfica,POR
436,Jo??o Escoval,,Jo??o Escoval,65,2,POR,08.05.1997,18,,0,Benfica,POR
437,Jo??o Lima,,Jo??o Lima,96,2,POR,23.06.1996,19,178,0,Benfica,POR
438,Jo??o Nunes,,Jo??o Nunes,63,2,POR,19.11.1995,19,186,0,Benfica,POR
439,Jo??o Teixeira,,Jo??o Teixeira,40,3,POR,06.02.1994,21,178,0,Benfica,POR
440,Jonas,,Jonas,17,4,BRA,01.04.1984,31,181,8,Benfica,POR
441,J??lio C??sar,,J??lio C??sar,12,1,BRA,03.09.1979,36,186,0,Benfica,POR
442,Lindel??f,Victor,Lindel??f,14,2,SWE,17.07.1994,21,187,0,Benfica,POR
443,Lisandro L??pez,,Lisandro L??pez,2,2,ARG,01.09.1989,26,187,0,Benfica,POR
444,Luis??o,,Luis??o,4,2,BRA,13.02.1981,34,193,5,Benfica,POR
445,Miguel Santos,,Miguel Santos,87,1,POR,21.10.1994,20,193,0,Benfica,POR
446,Mitroglou,Kostas,Mitroglou,11,4,GRE,12.03.1988,27,188,14,Benfica,POR
447,Nuno Santos,,Nuno Santos,38,4,POR,13.02.1995,20,179,0,Benfica,POR
448,Ould-Chikh,Bilal,Ould-Chikh,8,4,NED,28.07.1997,18,167,0,Benfica,POR
449,Paulo Lopes,,Paulo Lopes,13,1,POR,29.06.1978,37,186,0,Benfica,POR
450,Pedro Rodrigues,,Pedro Rodrigues,88,3,POR,20.05.1997,18,,0,Benfica,POR
451,Pizzi,,Pizzi,21,4,POR,06.10.1989,25,172,0,Benfica,POR
452,Rebocho,,Rebocho,60,2,POR,23.01.1995,20,172,0,Benfica,POR
453,Renato Sanches,,Renato Sanches,85,3,POR,18.08.1997,18,,0,Benfica,POR
454,Ricardo Carvalho,,Ricardo Carvalho,73,2,POR,06.03.1996,19,,0,Benfica,POR
455,R??ben Dias,,R??ben Dias,66,2,POR,14.05.1997,18,,0,Benfica,POR
456,Samaris,Andreas,Samaris,7,3,GRE,13.06.1989,26,189,0,Benfica,POR
457,Sancidino Silva,,Sancidino Silva,77,4,POR,05.03.1994,21,,0,Benfica,POR
458,Semedo,N??lson,Semedo,50,2,POR,16.11.1993,21,177,0,Benfica,POR
459,S??lvio,,S??lvio,28,2,POR,28.09.1987,27,178,0,Benfica,POR
460,Taarabt,Adel,Taarabt,23,4,MAR,24.05.1989,26,180,0,Benfica,POR
461,Talisca,,Talisca,30,4,BRA,01.02.1994,21,178,1,Benfica,POR
462,Tiago Dias,,Tiago Dias,78,4,POR,04.05.1998,17,,0,Benfica,POR
463,Victor Andrade,,Victor Andrade,31,3,BRA,30.09.1995,19,171,0,Benfica,POR
464,Yuri Ribeiro,,Yuri Ribeiro,95,2,POR,24.01.1997,18,,0,Benfica,POR
465,Adu,Enoch Kofi,Adu,8,3,GHA,14.09.1990,25,180,0,Malm??,SWE
466,Andersson,Erik,Andersson,14,3,SWE,03.05.1997,18,,0,Malm??,SWE
467,Andersson,Fredrik,Andersson,29,1,SWE,25.10.1988,26,,0,Malm??,SWE
468,??rnason,K??ri,??rnason,21,2,ISL,13.10.1982,32,,0,Malm??,SWE
469,Azinovic,Zlatan,Azinovic,27,1,SWE,31.01.1988,27,183,0,Malm??,SWE
470,Bengtsson,Rasmus,Bengtsson,17,2,SWE,26.06.1986,29,186,0,Malm??,SWE
471,Berget,Jo Inge,Berget,23,4,NOR,11.09.1990,25,184,3,Malm??,SWE
472,Brorsson,Franz,Brorsson,31,2,SWE,30.01.1996,19,,0,Malm??,SWE
473,Carvalho,Felipe,Carvalho,25,2,URU,18.09.1993,22,,0,Malm??,SWE
474,Cibicki,Pawe??,Cibicki,15,3,SWE,09.01.1994,21,182,0,Malm??,SWE
475,Djurdji??,Nikola,Djurdji??,28,4,SRB,01.04.1986,29,185,1,Malm??,SWE
476,Eikrem,Magnus,Eikrem,19,3,NOR,08.08.1990,25,173,1,Malm??,SWE
477,Johansson,Marko,Johansson,30,1,SWE,25.08.1998,17,,0,Malm??,SWE
478,Konate,Pa,Konate,2,2,SWE,25.04.1994,21,172,0,Malm??,SWE
479,Kroon,Simon,Kroon,7,3,SWE,16.06.1993,22,180,1,Malm??,SWE
480,Lewicki,Oscar,Lewicki,6,3,SWE,14.07.1992,23,,0,Malm??,SWE
481,Mehmeti,Agon,Mehmeti,11,4,SWE,20.11.1989,25,183,1,Malm??,SWE
482,Molins,Guillermo,Molins,10,3,SWE,26.09.1988,26,186,1,Malm??,SWE
483,??zen,Mahmut,??zen,24,2,SWE,01.09.1988,27,179,0,Malm??,SWE
484,Petrovi??,Petar,Petrovi??,18,3,SWE,15.09.1995,20,,0,Malm??,SWE
485,Rakip,Erdal,Rakip,5,3,SWE,13.02.1996,19,175,0,Malm??,SWE
486,Rodi??,Vladimir,Rodi??,20,3,SRB,07.09.1993,22,,1,Malm??,SWE
487,Rosenberg,Markus,Rosenberg,9,4,SWE,27.09.1982,32,185,14,Malm??,SWE
488,Sana,Tobias,Sana,22,4,SWE,11.07.1989,26,173,0,Malm??,SWE
489,Svanberg,Mattias,Svanberg,32,3,SWE,05.01.1999,16,,0,Malm??,SWE
490,Tinnerholm,Anton,Tinnerholm,3,2,SWE,26.02.1991,24,175,1,Malm??,SWE
491,Vindheim,Andreas,Vindheim,26,2,NOR,04.08.1995,20,,0,Malm??,SWE
492,Wiland,Johan,Wiland,1,1,SWE,24.01.1981,34,188,0,Malm??,SWE
493,Yot??n,Yoshimar,Yot??n,13,2,PER,07.04.1990,25,,0,Malm??,SWE
494,Ademi,Arijan,Ademi,16,3,CRO,29.05.1991,24,183,2,Dinamo Zagreb,CRO
495,Antoli??,Domagoj,Antoli??,8,3,CRO,30.06.1990,25,180,1,Dinamo Zagreb,CRO
496,Benkovi??,Filip,Benkovi??,26,2,CRO,13.07.1997,18,,0,Dinamo Zagreb,CRO
497,??eki??i,Endri,??eki??i,17,4,ALB,23.11.1996,18,,0,Dinamo Zagreb,CRO
498,??ori??,Ante,??ori??,24,3,CRO,14.04.1997,18,177,0,Dinamo Zagreb,CRO
499,Eduardo,,Eduardo,34,1,POR,19.09.1982,32,190,0,Dinamo Zagreb,CRO
