rowNumber,Player,Country,Position,Number,Age
369,Hugo LLORIS,France,Goalkeeper,1,27
370,Sami KHEDIRA,Germany,Midfielder,6,27
371,Kevin Prince BOATENG,Ghana,Forward,9,27
372,John BOYE,Ghana,Defender,21,27
373,Harrison AFFUL,Ghana,Defender,23,27
374,Lazaros CHRISTODOULOPOULOS,Greece,Midfielder,16,27
375,Panagiotis GLYKOS,Greece,Goalkeeper,12,27
376,Ioannis MANIATIS,Greece,Midfielder,2,27
377,Jerry BENGTSON,Honduras,Forward,11,27
378,Roger ESPINOZA,Honduras,Midfielder,15,27
379,Edder DELGADO,Honduras,Midfielder,12,27
380,Ashkan DEJAGAH,Iran,Forward,21,27
381,Hossein MAHINI,Iran,Defender,13,27
382,Mehrdad POOLADI,Iran,Defender,23,27
383,Steven BEITASHOUR,Iran,Defender,20,27
384,Leonardo BONUCCI,Italy,Defender,19,27
385,Ignazio ABATE,Italy,Defender,7,27
386,Salvatore SIRIGU,Italy,Goalkeeper,12,27
387,Antonio CANDREVA,Italy,Midfielder,6,27
388,GERVINHO,Ivory Coast,Forward,10,27
389,Ismael TIOTE,Ivory Coast,Midfielder,9,27
390,Ousmane DIARRASSOUBA,Ivory Coast,Defender,2,27
391,Constant DJAKPA,Ivory Coast,Defender,18,27
392,Masato MORISHIGE,Japan,Defender,6,27
393,Yuto NAGATOMO,Japan,Defender,5,27
394,Andres GUARDADO,Mexico,Defender,18,27
395,Emmanuel EMENIKE,Nigeria,Forward,9,27
396,John Obi MIKEL,Nigeria,Midfielder,10,27
397,NANI,Portugal,Forward,17,27
398,JOAO MOUTINHO,Portugal,Midfielder,8,27
399,Denis GLUSHAKOV,Russia,Midfielder,8,27
400,Dmitry KOMBAROV,Russia,Defender,23,27
401,Aleksei KOZLOV,Russia,Defender,2,27
402,Vladimir GRANAT,Russia,Defender,13,27
403,LEE Yong,South Korea,Defender,12,27
404,PARK Jooho,South Korea,Defender,22,27
405,Cesc FABREGAS,Spain,Midfielder,10,27
406,Gerard PIQUE,Spain,Defender,3,27
407,Gelson FERNANDES,Switzerland,Midfielder,16,27
408,Johan DJOUROU,Switzerland,Defender,20,27
409,Luis SUAREZ,Uruguay,Forward,9,27
410,Cristhian STUANI,Uruguay,Forward,11,27
411,Edinson CAVANI,Uruguay,Forward,21,27
412,Martin CACERES,Uruguay,Defender,22,27
413,Graham ZUSI,USA,Midfielder,19,27
414,Alejandro BEDOYA,USA,Midfielder,11,27
415,Matt BESLER,USA,Defender,5,27
416,Rais MBOLHI,Algeria,Goalkeeper,23,28
417,Enzo PEREZ,Argentina,Midfielder,8,28
418,Augusto FERNANDEZ,Argentina,Midfielder,13,28
419,Fernando GAGO,Argentina,Midfielder,5,28
420,Lucas BIGLIA,Argentina,Midfielder,6,28
421,Mark MILLIGAN,Australia,Midfielder,5,28
422,Vincent KOMPANY,Belgium,Defender,4,28
423,Thomas VERMAELEN,Belgium,Defender,3,28
424,Laurent CIMAN,Belgium,Defender,23,28
425,Sammy BOSSUT,Belgium,Goalkeeper,13,28
426,Edin DZEKO,Bosnia & Herzegovina,Forward,11,28
427,Senijad IBRICIC,Bosnia & Herzegovina,Midfielder,17,28
428,Senad LULIC,Bosnia & Herzegovina,Midfielder,16,28
429,Avdija VRSAJEVIC,Bosnia & Herzegovina,Midfielder,2,28
430,Jasmin FEJZIC,Bosnia & Herzegovina,Goalkeeper,12,28
431,Stephane MBIA,Cameroon,Midfielder,17,28
432,Enoh EYONG,Cameroon,Midfielder,18,28
433,Landry NGUEMO,Cameroon,Midfielder,7,28
434,Aurelien CHEDJOU,Cameroon,Defender,14,28
435,Dany NOUNKEU,Cameroon,Defender,5,28
436,Fabian ORELLANA,Chile,Forward,14,28
437,Gonzalo JARA,Chile,Defender,18,28
438,Francisco SILVA,Chile,Midfielder,5,28
439,Adrian RAMOS,Colombia,Forward,19,28
440,Juan ZUNIGA,Colombia,Defender,18,28
441,Carlos SANCHEZ,Colombia,Midfielder,6,28
442,Bryan RUIZ,Costa Rica,Forward,10,28
443,Oscar GRANADOS,Costa Rica,Midfielder,13,28
444,Daniel CAMBRONERO,Costa Rica,Goalkeeper,23,28
445,Mario MANDZUKIC,Croatia,Forward,17,28
446,Nikica JELAVIC,Croatia,Forward,9,28
447,Luka MODRIC,Croatia,Midfielder,10,28
448,Vedran CORLUKA,Croatia,Defender,5,28
449,Antonio VALENCIA,Ecuador,Midfielder,16,28
450,Maximo BANGUERA,Ecuador,Goalkeeper,1,28
451,Wayne ROONEY,England,Forward,10,28
452,Gary CAHILL,England,Defender,5,28
453,James MILNER,England,Midfielder,17,28
454,Mathieu DEBUCHY,France,Defender,2,28
455,Yohan CABAYE,France,Midfielder,6,28
456,Laurent KOSCIELNY,France,Defender,21,28
457,Manuel NEUER,Germany,Goalkeeper,1,28
458,Asamoah GYAN,Ghana,Forward,3,28
459,Orestis KARNEZIS,Greece,Goalkeeper,1,28
460,Juan MONTES,Honduras,Defender,4,28
461,Jorge CLAROS,Honduras,Midfielder,20,28
462,Brayan BECKELES,Honduras,Defender,21,28
463,Emilio IZAGUIRRE,Honduras,Midfielder,7,28
464,Claudio MARCHISIO,Italy,Midfielder,8,28
465,Gabriel PALETTA,Italy,Defender,20,28
466,Salomon KALOU,Ivory Coast,Forward,8,28
467,Shinji OKAZAKI,Japan,Forward,9,28
468,Keisuke HONDA,Japan,Forward,4,28
469,Masahiko INOHA,Japan,Defender,19,28
470,Shusaku NISHIKAWA,Japan,Goalkeeper,12,28
471,Toshihiro AOYAMA,Japan,Midfielder,14,28
472,Paul AGUILAR,Mexico,Defender,22,28
473,Guillermo OCHOA,Mexico,Goalkeeper,13,28
474,MIGUEL VELOSO,Portugal,Midfielder,4,28
475,VIEIRINHA,Portugal,Forward,10,28
476,Victor FAYZULIN,Russia,Midfielder,20,28
477,Igor AKINFEEV,Russia,Goalkeeper,1,28
478,PARK Chuyoung,South Korea,Forward,10,28
479,KIM Changsoo,South Korea,Defender,2,28
480,David SILVA,Spain,Midfielder,21,28
481,Sergio RAMOS,Spain,Defender,15,28
482,Raul ALBIOL,Spain,Defender,2,28
483,Blerim DZEMAILI,Switzerland,Midfielder,15,28
484,Reto ZIEGLER,Switzerland,Defender,3,28
485,Cristian RODRIGUEZ,Uruguay,Midfielder,7,28
486,Alvaro PEREIRA,Uruguay,Midfielder,6,28
487,Diego GODIN,Uruguay,Defender,3,28
488,Fernando MUSLERA,Uruguay,Goalkeeper,1,28
489,Geoff CAMERON,USA,Defender,20,28
490,Carl MEDJANI,Algeria,Defender,12,29
491,Mohamed ZEMMAMOUCHE,Algeria,Goalkeeper,16,29
492,Cedric SI MOHAMMED,Algeria,Goalkeeper,1,29
493,Djamel MESBAH,Algeria,Defender,6,29
494,Ezequiel LAVEZZI,Argentina,Forward,22,29
495,Pablo ZABALETA,Argentina,Defender,4,29
496,Mile JEDINAK,Australia,Midfielder,15,29
497,Alex WILKINSON,Australia,Defender,22,29
498,Nicolas LOMBAERTS,Belgium,Defender,18,29
499,Vedad IBISEVIC,Bosnia & Herzegovina,Forward,9,29
500,Haris MEDUNJANIN,Bosnia & Herzegovina,Midfielder,18,29
501,Sejad SALIHOVIC,Bosnia & Herzegovina,Midfielder,23,29
502,FERNANDINHO,Brazil,Midfielder,5,29
503,HERNANES,Brazil,Midfielder,18,29
504,THIAGO SILVA,Brazil,Defender,3,29
505,Jose FUENZALIDA,Chile,Midfielder,19,29
506,Teofilo GUTIERREZ,Colombia,Forward,9,29
507,Carlos VALDES,Colombia,Defender,23,29
508,Abel AGUILAR,Colombia,Midfielder,8,29
509,Heiner MORA,Costa Rica,Defender,8,29
510,Roy MILLER,Costa Rica,Defender,19,29
511,Gordon SCHILDENFELD,Croatia,Defender,13,29
512,Danijel SUBASIC,Croatia,Goalkeeper,23,29
513,Cristhian NOBOA,Ecuador,Midfielder,6,29
514,Gabriel ACHILIER,Ecuador,Defender,21,29
515,Leighton BAINES,England,Defender,3,29
516,Glen JOHNSON,England,Defender,2,29
517,Mathieu VALBUENA,France,Midfielder,8,29
518,Lukas PODOLSKI,Germany,Forward,10,29
519,Bastian SCHWEINSTEIGER,Germany,Midfielder,7,29
520,Per MERTESACKER,Germany,Defender,17,29
521,Sulley MUNTARI,Ghana,Midfielder,11,29
522,Fatawu DAUDA,Ghana,Goalkeeper,16,29
523,Georgios SAMARAS,Greece,Forward,7,29
524,Vasileios TOROSIDIS,Greece,Defender,15,29
525,Jose CHOLEVAS,Greece,Defender,20,29
526,Alexandros TZIOLIS,Greece,Midfielder,6,29
527,Wilson PALACIOS,Honduras,Midfielder,8,29
528,Boniek GARCIA,Honduras,Midfielder,14,29
529,Osman CHAVEZ,Honduras,Defender,2,29
530,Alberto AQUILANI,Italy,Midfielder,14,29
531,Giorgio CHIELLINI,Italy,Defender,3,29
532,Marco PAROLO,Italy,Midfielder,18,29
533,Souleymane BAMBA,Ivory Coast,Defender,22,29
534,Die SEREY,Ivory Coast,Midfielder,20,29
535,Ron VLAAR,Netherlands,Defender,2,29
536,Nigel DE JONG,Netherlands,Midfielder,6,29
537,Chigozie AGBIM,Nigeria,Goalkeeper,21,29
538,CRISTIANO RONALDO,Portugal,Forward,7,29
539,VARELA,Portugal,Forward,18,29
540,RUBEN AMORIM,Portugal,Midfielder,20,29
541,Alexander SAMEDOV,Russia,Forward,19,29
542,LEE Keunho,South Korea,Forward,11,29
543,JUNG Sungryong,South Korea,Goalkeeper,1,29
544,HA Daesung,South Korea,Midfielder,8,29
545,Santi CAZORLA,Spain,Midfielder,20,29
546,JUANFRAN,Spain,Defender,5,29
547,Tranquillo BARNETTA,Switzerland,Midfielder,7,29
548,Philippe SENDEROS,Switzerland,Defender,4,29
549,Gokhan INLER,Switzerland,Midfielder,8,29
550,Valon BEHRAMI,Switzerland,Midfielder,11,29
551,Alvaro GONZALEZ,Uruguay,Midfielder,20,29
552,Walter GARGANO,Uruguay,Midfielder,5,29
553,Jorge FUCILE,Uruguay,Defender,4,29
554,Brad GUZAN,USA,Goalkeeper,12,29
555,Hassan YEBDA,Algeria,Midfielder,7,30
556,Mehdi MOSTEFA,Algeria,Midfielder,22,30
557,Medhi LACEN,Algeria,Midfielder,8,30
558,Javier MASCHERANO,Argentina,Midfielder,14,30
559,Mariano ANDUJAR,Argentina,Goalkeeper,21,30
560,Jose Maria BASANTA,Argentina,Defender,23,30
561,Mensur MUJDZA,Bosnia & Herzegovina,Midfielder,13,30
562,FRED,Brazil,Forward,9,30
563,DANTE,Brazil,Defender,13,30
564,Benoit ASSOU EKOTTO,Cameroon,Defender,2,30
565,Henri BEDIMO,Cameroon,Defender,12,30
566,Mauricio PINILLA,Chile,Forward,9,30
567,Jean BEAUSEJOUR,Chile,Midfielder,15,30
568,Jorge VALDIVIA,Chile,Midfielder,10,30
569,Jose ROJAS,Chile,Defender,13,30
570,Randall BRENES,Costa Rica,Forward,14,30
571,Michael BARRANTES,Costa Rica,Midfielder,11,30
572,Johnny ACOSTA,Costa Rica,Defender,2,30
573,Christian BOLANOS,Costa Rica,Midfielder,7,30
574,Junior DIAZ,Costa Rica,Defender,15,30
575,Ognjen VUKOJEVIC,Croatia,Midfielder,8,30
576,Luis SARITAMA,Ecuador,Midfielder,19,30
577,Rio MAVUBA,France,Midfielder,12,30
578,Philipp LAHM,Germany,Midfielder,16,30
579,Marvin CHAVEZ,Honduras,Midfielder,10,30
580,Masoud SHOJAEI,Iran,Forward,7,30
581,Hashem BEIKZADEH,Iran,Midfielder,19,30
582,Pejman MONTAZERI,Iran,Defender,15,30
583,Ghasem HADADIFAR,Iran,Midfielder,11,30
584,Khosro HEYDARI,Iran,Forward,2,30
585,Daniele DE ROSSI,Italy,Midfielder,16,30
586,Konan YA,Ivory Coast,Midfielder,13,30
587,Makoto HASEBE,Japan,Midfielder,17,30
588,Oribe PERALTA,Mexico,Forward,19,30
589,Klaas Jan HUNTELAAR,Netherlands,Forward,19,30
590,Robin VAN PERSIE,Netherlands,Forward,9,30
591,Arjen ROBBEN,Netherlands,Forward,11,30
592,Wesley SNEIJDER,Netherlands,Midfielder,10,30
593,Michel VORM,Netherlands,Goalkeeper,22,30
594,Paul VERHAEGH,Netherlands,Defender,12,30
595,Austine EJIDE,Nigeria,Goalkeeper,16,30
596,HUGO ALMEIDA,Portugal,Forward,9,30
597,JOAO PEREIRA,Portugal,Defender,21,30
598,Yury ZHIRKOV,Russia,Forward,18,30
599,Andrey ESHCHENKO,Russia,Defender,22,30
600,Igor DENISOV,Russia,Midfielder,7,30
601,Fernando TORRES,Spain,Forward,9,30
602,Andres INIESTA,Spain,Midfielder,6,30
603,Stephan LICHTSTEINER,Switzerland,Defender,2,30
604,Diego BENAGLIO,Switzerland,Goalkeeper,1,30
605,Maximiliano PEREIRA,Uruguay,Defender,16,30
606,Madjid BOUGUERRA,Algeria,Defender,2,31
607,Matt McKAY,Australia,Midfielder,17,31
608,DANI ALVES,Brazil,Defender,2,31
609,VICTOR,Brazil,Goalkeeper,22,31
610,JEFFERSON,Brazil,Goalkeeper,1,31
611,Jean MAKOUN,Cameroon,Midfielder,11,31
612,Charles ITANDJE,Cameroon,Goalkeeper,16,31
613,Claudio BRAVO,Chile,Goalkeeper,1,31
614,Michael UMANA,Costa Rica,Defender,4,31
615,EDUARDO,Croatia,Forward,22,31
616,Oscar BAGUI,Ecuador,Defender,18,31
617,Phil JAGIELKA,England,Defender,6,31
618,Ben FOSTER,England,Goalkeeper,13,31
619,Franck RIBERY,France,Forward,7,31
620,Bacary SAGNA,France,Defender,15,31
621,Michael ESSIEN,Ghana,Midfielder,5,31
622,Carlo COSTLY,Honduras,Forward,13,31
623,Maynor FIGUEROA,Honduras,Defender,3,31
624,Ahmad ALNAMEH,Iran,Defender,17,31
625,Andranik TIMOTIAN,Iran,Midfielder,14,31
626,Antonio CASSANO,Italy,Forward,10,31
627,THIAGO MOTTA,Italy,Midfielder,5,31
628,Yaya TOURE,Ivory Coast,Midfielder,19,31
629,Arthur BOKA,Ivory Coast,Defender,3,31
630,Yasuyuki KONNO,Japan,Defender,15,31
631,Eiji KAWASHIMA,Japan,Goalkeeper,1,31
632,Alfredo TALAVERA,Mexico,Goalkeeper,12,31
633,Vincent ENYEAMA,Nigeria,Goalkeeper,1,31
634,HELDER POSTIGA,Portugal,Forward,23,31
635,RAUL MEIRELES,Portugal,Midfielder,16,31
636,PEPE,Portugal,Defender,3,31
637,EDUARDO,Portugal,Goalkeeper,1,31
638,Aleksandr KERZHAKOV,Russia,Forward,11,31
639,Pepe REINA,Spain,Goalkeeper,23,31
640,Steve VON BERGEN,Switzerland,Defender,5,31
641,Martin SILVA,Uruguay,Goalkeeper,23,31
642,Chris WONDOLOWSKI,USA,Forward,18,31
643,Clint DEMPSEY,USA,Forward,8,31
644,Rodrigo PALACIO,Argentina,Forward,18,32
645,Agustin ORION,Argentina,Goalkeeper,12,32
646,Zvjezdan MISIMOVIC,Bosnia & Herzegovina,Midfielder,10,32
647,MAICON,Brazil,Defender,23,32
648,MAXWELL,Brazil,Defender,14,32
649,Pierre WEBO,Cameroon,Forward,15,32
650,Patrick PEMBERTON,Costa Rica,Goalkeeper,18,32
651,Darijo SRNA,Croatia,Defender,11,32
652,Danijel PRANJIC,Croatia,Defender,3,32
653,Segundo CASTILLO,Ecuador,Midfielder,14,32
654,Jorge GUAGUA,Ecuador,Defender,2,32
655,Rickie LAMBERT,England,Forward,18,32
656,Dimitrios SALPINGIDIS,Greece,Forward,14,32
657,Vangelis MORAS,Greece,Defender,5,32
658,Jerry PALACIOS,Honduras,Midfielder,9,32
659,Victor BERNARDEZ,Honduras,Defender,5,32
660,Jalal HOSSEINI,Iran,Defender,4,32
661,Amirhossein SADEGHI,Iran,Defender,5,32
662,Yoshito OKUBO,Japan,Forward,13,32
663,Francisco RODRIGUEZ,Mexico,Defender,2,32
664,Shola AMEOBI,Nigeria,Forward,23,32
665,Peter ODEMWINGIE,Nigeria,Forward,8,32
666,BRUNO ALVES,Portugal,Defender,2,32
667,BETO,Portugal,Goalkeeper,22,32
668,Roman SHIROKOV,Russia,Midfielder,15,32
669,Vasily BEREZUTSKIY,Russia,Defender,14,32
670,KWAK Taehwi,South Korea,Defender,4,32
671,David VILLA,Spain,Forward,7,32
672,Xabi ALONSO,Spain,Midfielder,14,32
673,Egidio AREVALO,Uruguay,Midfielder,17,32
674,Rodrigo MUNOZ,Uruguay,Goalkeeper,12,32
675,DaMarcus BEASLEY,USA,Defender,7,32
676,Jermaine JONES,USA,Midfielder,13,32
677,Kyle BECKERMAN,USA,Midfielder,15,32
678,Brad DAVIS,USA,Midfielder,14,32
679,Maxi RODRIGUEZ,Argentina,Midfielder,11,33
680,Martin DEMICHELIS,Argentina,Defender,15,33
681,Hugo CAMPAGNARO,Argentina,Defender,3,33
682,Eugene GALEKOVIC,Australia,Goalkeeper,18,33
683,Emir SPAHIC,Bosnia & Herzegovina,Defender,4,33
684,Asmir AVDUKIC,Bosnia & Herzegovina,Goalkeeper,22,33
685,Samuel ETOO,Cameroon,Forward,9,33
686,Esteban PAREDES,Chile,Forward,22,33
687,Johnny HERRERA,Chile,Goalkeeper,23,33
688,Aldo RAMIREZ,Colombia,Midfielder,5,33
689,Patrice EVRA,France,Defender,3,33
690,Roman WEIDENFELLER,Germany,Goalkeeper,22,33
691,Loukas VYNTRA,Greece,Defender,11,33
692,Donis ESCOBER,Honduras,Goalkeeper,22,33
693,Javad NEKOUNAM,Iran,Midfielder,6,33
694,Rahman AHMADI,Iran,Goalkeeper,1,33
695,Andrea BARZAGLI,Italy,Defender,15,33
696,Kolo TOURE,Ivory Coast,Defender,4,33
697,Didier ZOKORA,Ivory Coast,Defender,5,33
698,Jose CORONA,Mexico,Goalkeeper,1,33
699,Dirk KUYT,Netherlands,Forward,15,33
700,Joseph YOBO,Nigeria,Defender,2,33
701,RICARDO COSTA,Portugal,Defender,13,33
702,Sergey RYZHIKOV,Russia,Goalkeeper,16,33
703,Iker CASILLAS,Spain,Goalkeeper,1,33
704,Diego LUGANO,Uruguay,Defender,2,33
705,Tim CAHILL,Australia,Forward,4,34
706,Mark BRESCIANO,Australia,Midfielder,23,34
707,JULIO CESAR,Brazil,Goalkeeper,12,34
708,Ivica OLIC,Croatia,Forward,18,34
709,Walter AYOVI,Ecuador,Midfielder,10,34
710,Steven GERRARD,England,Midfielder,4,34
711,Theofanis GEKAS,Greece,Forward,17,34
712,Boubacar BARRY,Ivory Coast,Goalkeeper,1,34
713,Yasuhito ENDO,Japan,Midfielder,7,34
714,Carlos SALCIDO,Mexico,Defender,3,34
715,Sergey IGNASHEVICH,Russia,Defender,4,34
716,Xavi HERNANDEZ,Spain,Midfielder,8,34
717,Diego PEREZ,Uruguay,Midfielder,15,34
718,Stipe PLETIKOSA,Croatia,Goalkeeper,1,35
719,Edison MENDEZ,Ecuador,Midfielder,8,35
720,Mickael LANDREAU,France,Goalkeeper,23,35
721,Konstantinos KATSOURANIS,Greece,Midfielder,21,35
722,Andrea PIRLO,Italy,Midfielder,21,35
723,Rafael MARQUEZ,Mexico,Defender,4,35
724,Diego FORLAN,Uruguay,Forward,10,35
725,Tim HOWARD,USA,Goalkeeper,1,35
726,Nick RIMANDO,USA,Goalkeeper,22,35
727,Daniel VAN BUYTEN,Belgium,Defender,15,36
728,Frank LAMPARD,England,Midfielder,8,36
729,Miroslav KLOSE,Germany,Forward,11,36
730,Gianluigi BUFFON,Italy,Goalkeeper,1,36
731,Didier DROGBA,Ivory Coast,Forward,11,36
732,Georgios KARAGOUNIS,Greece,Midfielder,10,37
733,Noel VALLADARES,Honduras,Goalkeeper,18,37
734,Mario YEPES,Colombia,Defender,3,38
735,Faryd MONDRAGON,Colombia,Goalkeeper,22,43
